original name,name,category,URL,Plattform,channel name,ground_truth,OCR_ChatGPT4
"Weihnachtsfeier im Sprachcafé! Wir laden euch herzlich zu unserer Weihnachtsfeier am 21.12.21 ins OPZ ein. Bringt gerne etwas zum Trinken oder Essen mit, sowie einen Nachweis über eure Impfungen oder Genesung.Wir freue.jpg",0001.jpg,noisy,https://www.instagram.com/p/CXTzhTAs4O2/?img_index=1,Instagram,sprachcafe.berlin,SPRACHCAFE WEIHNACHTSFEIER DIENSTAG 21.12 OLOF-PALME ZENTRUM 19 UHR WIR FREUEN UNS AUF EUCH!,Sprachcafe Weihnachtsfeier Dienstag 21.12. Olof-Palme Zentrum 19 Uhr Wir freuen uns auf euch!
Dresden 8.8. 16 Uhr #demokratischerwiderstand #grundgesetz #nichtohneuns.jpg,0002.jpg,noisy,https://www.instagram.com/p/CDbyO8SnQ9Z/,Instagram,nichtohneuns,"SCHLIESST EUCH AN! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG #SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? DRESDEN, GROßER GARTEN, 8.8. UM 16 UHR","SCHLIESST EUCH AN! KUNDGEBUNG #SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? DRESDEN, GROßER GARTEN, 8.8. UM 16 UHR"
"kein vergeben – kein vergessen- gedenken heißt handeln!als antifaschistisches bündnis rufen wir am 9. november 2023, dem 85. jahrestag der novemberpogrome, zu einer gedenkkundgebung am mahnmal levetzowstraße mit ans.jpg",0003.jpg,noisy,https://www.instagram.com/p/CzRO0TuqUEN/,Instagram,about.blank.berlin,"»ES IST GESCHEHEN UND FOLGLICH KANN ES WIEDER GESCHEHEN.« Primo Levi Gedenkkundgebung und antifaschistische Demonstration Mahnmal Levetzowstraße, Berlin-Moabit 9. November 1938–2023 18:00 Uhr 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus! 9november.blackblogs.org","»ES IST GESCHEHEN UND FOLGLICH KANN ES WIEDER GESCHEHEN.« Primo Levi Gedenkkundgebung und antifaschistische Demonstration Mahnmal Levetzowstraße, Berlin-Moabit 9. November 1938–2023 18:00 Uhr 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus! 9november.blackblogs.org"
"Am Mittwoch singen wir wieder gemeinsam! Diesmal treffen wir uns an der Grundschule Islandstraße, Islandstraße 25 – mit instrumentaler Begleitung unter anderem von @kmeiol . Kommen Sie doch auf ein Liedchen vorbei.Be.jpg",0004.jpg,noisy,https://www.instagram.com/p/Ctqhn4Ct99Z/,Instagram,kulturzentrumbim,"FEIERABEND SINGEN KULTUR NETZ Meiendorf IMMER UM 17.00 UHR JEDE*R IST ♥-LICH WILLKOMMEN! MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25","FEIERABEND SINGEN KULTUR NETZ Meiendorf IMMER UM 17.00 UHR JEDE*R IST ♥-LICH WILLKOMMEN! MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25"
"das ---amt blank empfiehlt-demo gegen gentrifizierung - samstag, 09. juli 2022 - start- 15 h warschauer brücke statt rave the planet-gegockel gibt es diesen samstag noch eine handfeste bewegungsalternative gegen gentrif.jpg",0006.jpg,noisy,https://www.instagram.com/p/CfwC9xjKdM4/,Instagram,about.blank.berlin,IHR HABT UNS DIE STADT GESTOHLEN GEBT SIE WIEDER HER! DEMO GEGEN GENTRIFIZIERUNG 09. JULI 2022 / 15:00 UHR,IHR HABT UNS DIE STADT GESTOHLEN GEBT SIE WIEDER HER! DEMO GEGEN GENTRIFIZIERUNG 09. JULI 2022 / 15:00 UHR
"die @f_antifa_9._mai ruf wie jedes jahr zum tag der befreiung auf-- demo zum sowjetischen ehrenmal- 9. mai, 13 uhr ostkreuz, annemirl-bauer-platz- infotresen befreierinnen im fokus- 8. mai, 19.30 uhr, b-lage nk.jpg",0007.jpg,noisy,https://www.instagram.com/p/C6rFXjKo0Sn/?img_index=1,Instagram,about.blank.berlin,9. Mai 2024 Demo Herrentag Tag der Befreiung! 13h Ostkreuz (Seite Sonntagstraße),9. Mai 2024 Demo Herrentag Tag der Befreiung! 13h Ostkreuz (Seite Sonntagstraße)
"OMAS GEGEN RECHTS laden zum Benefizabend für die #ukraine. Mit tollen Gästen. Es gibt noch Karten. Anmelden- www.ateliertheater.wien, Eintritt frei. #omasgegenrechtsösterreich #omasgegenrechts #omasgegenrechtswien.jpg",0009.jpg,noisy,https://www.instagram.com/p/Ccw5E4wMo8l/,Instagram,omasgegenrechts,"OMAS GEGEN RECHTS Benefizabend am 10. Mai 2022, 19:30 Uhr Atelier­theater, Burggasse 71, 1070 Wien Anmeldung: www.ateliertheater.wien Harri Stojka Shlomit Butbul Klezmer Reloaded The English Lovers Aret Aleksanyan Muamer Budimlic Margaret Carter Caroline Koczan Ingrid Porzner Monika Salzer Susanne Scholl Jenny Simanowitz Kathy Tanner Vira Zhuk und OMAS-ON-STAGE ATELIERTHEATER Eintritt frei","OMAS GEGEN RECHTS Benefizabend am 10. Mai 2022, 19:30 Uhr Atelier­theater, Burggasse 71, 1070 Wien Anmeldung: www.ateliertheater.wien Harri Stojka Shlomit Butbul Klezmer Reloaded The English Lovers Aret Aleksanyan Muamer Budimlic Margaret Carter Caroline Koczan Ingrid Porzner Monika Salzer Susanne Scholl Jenny Simanowitz Kathy Tanner Vira Zhuk und OMAS-ON-STAGE ATELIERTHEATER Eintritt frei"
"#nichtohneuns (sorry posting too late, overloaded...).jpg",0010.jpg,noisy,https://www.instagram.com/p/B_sM_IJHwkD/,Instagram,nichtohneuns,GRUNDGESETZ MEDITATION 02.05.2020 15:30 UHR REWE BLIESKASTEL,GRUNDGESETZ MEDITATION 02.05.2020 15:30 UHR REWE BLIESKASTEL
"Wisst ihr noch als wir mit 70.000 Menschen in Essen gegen den AfD-Bundesparteitag auf der Straße waren Jetzt heißt es- Auf nach Riesa! Wir wollen mit euch gemeinsam am 11. bunt, breit und entschlossen gegen die AfD pro.jpg",0011.jpg,noisy,https://www.instagram.com/p/DCjjAEnxQxG/,Instagram,aufstehen_gegen_rassismus,SAVE THE DATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD-BUNDESPARTEITAG STOPPT DIE AfD Aufstehen-gegen-Rassismus.de,SAVE THE DATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD-BUNDESPARTEITAG STOPPT DIE AfD Aufstehen-gegen-Rassismus.de
"Berlin invites Europe. August 29, 2020. #demokratischerwiderstand #grundgesetz #nichtohneuns.jpg",0012.jpg,noisy,https://www.instagram.com/p/CDlrfOfnhen/,Instagram,nichtohneuns,"DEMOKRATISCHER Sommer www.nichtohneuns.de NICHT OHNE UNS! in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern. NICHT OHNE UNS! Europe in Berlin 29. August Parade und Kundgebung für das Grundgesetz und eine Basis-Demokratische Wende Saturday, the 29.8.2020 Berlin invites Europe Nicht Ohne Uns!","DEMOKRATISCHER Sommer www.nichtohneuns.de NICHT OHNE UNS! in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern. NICHT OHNE UNS! Europe in Berlin 29. August Parade und Kundgebung für das Grundgesetz und eine Basis-Demokratische Wende Saturday, the 29.8.2020 Berlin invites Europe Nicht Ohne Uns!"
