file_name,precision,recall,f1_score,tp,fp,fn
0001.jpg,0.75,0.75,0.75,3,1,1
0002.jpg,0.5,0.6666666666666666,0.5714285714285715,2,2,1
0003.jpg,0.5,0.75,0.6,3,3,1
0004.jpg,0.5,0.5,0.5,2,2,2
0006.jpg,1.0,1.0,1.0,3,0,0
0007.jpg,0.75,1.0,0.8571428571428571,3,1,0
0009.jpg,1.0,1.0,1.0,3,0,0
0010.jpg,1.0,0.6666666666666666,0.8,2,0,1
0011.jpg,1.0,1.0,1.0,2,0,0
0012.jpg,0.8,0.6666666666666666,0.7272727272727272,4,1,2
0013.jpg,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1
0014.jpg,0.3333333333333333,0.25,0.28571428571428575,1,2,3
0015.jpg,1.0,0.6,0.7499999999999999,3,0,2
0016.jpg,0.5,0.5,0.5,2,2,2
0017.jpg,1.0,0.8571428571428571,0.923076923076923,6,0,1
0018.jpeg,0.75,0.75,0.75,3,1,1
0019.jpg,0.0,0.0,0.0,0,2,4
0020.jpg,0.8,1.0,0.888888888888889,4,1,0
0022.jpg,0.375,0.375,0.375,3,5,5
0023.jpg,0.25,0.3333333333333333,0.28571428571428575,1,3,2
0024.jpg,0.6666666666666666,0.5,0.5714285714285715,2,1,2
0025.jpg,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1
0026.jpg,1.0,0.6666666666666666,0.8,2,0,1
0027.jpg,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1
0028.jpg,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2
0029.jpg,0.5714285714285714,0.8,0.6666666666666666,4,3,1
0030.jpg,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2
0031.jpg,1.0,1.0,1.0,5,0,0
0032.jpg,0.3333333333333333,0.25,0.28571428571428575,1,2,3
0035.jpg,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1
0036.jpg,0.8,0.6666666666666666,0.7272727272727272,4,1,2
0037.jpeg,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2
0039.jpeg,1.0,0.6666666666666666,0.8,2,0,1
0040.jpeg,0.5,0.3333333333333333,0.4,1,1,2
0041.jpg,0.25,0.25,0.25,1,3,3
0043.jpg,1.0,1.0,1.0,2,0,0
0044.jpg,0.5,0.5,0.5,1,1,1
0045.jpeg,0.75,1.0,0.8571428571428571,3,1,0
0046.jpeg,0.75,0.6,0.6666666666666665,3,1,2
0047.jpg,0.5,0.3333333333333333,0.4,1,1,2
0049.jpg,0.8,0.6666666666666666,0.7272727272727272,4,1,2
0050.jpg,1.0,0.75,0.8571428571428571,3,0,1
