file_name,output
0001.jpg,""
0002.jpg,"Entitäten: Ort (Großer Garten), Datum (8.8.2021), Zeit (16:00 Uhr), Kategorie (Kundgebung), Thema (SOLIDARITÄT MIT ALLEN!)"
0003.jpg,"Entitäten: Ort: Mahnmal Levetzowstraße, Berlin-Moabit 9, Datum: 9. November 1938, Zeit: 18:00 Uhr, Kategorie: Kundgebung, Thema: Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus!"
0004.jpg,"**Ort:** Grundschule Islandstraße, Islandstraße 25

**Datum:** 21.12.

**Zeit:** 19 Uhr

**Kategorie:** Festlegung von Festlegung von Feiertabende

**Thema:** Festlegung von Feiertabende"
0006.jpg,"Entitäten: Ort (Gestohlene Straße), Datum (21.12.), Zeit (15:00 Uhr), Kategorie (Demonstration), Thema (Studiumprojekt)"
0007.jpg,""
0009.jpg,"Entitäten: Ort(Burggasse 71), Datum(10. Mai 2022), Zeit(19:30 Uhr), Kategorie(Ateliertheater), Thema(The English Lovers)"
0010.jpg,"**Ort:** GRUNDGESETZ MEDITATION
**Datum:** 02.05.2020
**Zeit:** 15:30 Uhr
**Kategorie:** Kundgebung
**Thema:** REWE BLIESKASTEL"
0011.jpg,"Entitäten: Ort =?, Datum = 11. Januar 2025, Zeit = 19 Uhr, Kategorie = Kundgebung, Thema = PROTEST GEGEN DEN AFD- BUNDESPARTEITAG STOPPT DIE AfD Aufstehen-gegen-Rassismus.de"
0012.jpg,"Entitäten: Ort (Berlin), Datum (29.08.2020), Zeit (19:00 Uhr), Kategorie (Kundgebung), Thema (Großdemo)"
0013.jpg,"Entitäten: ORANIENPLATZ, Datum: 19. Februar, Zeit: 19 Uhr, Kategorie: Kundgebung, Thema: Rassismus und Faschismus"
0014.jpg," **Ort:** MBI NYP, **Datum:** 5. Juli 2023, **Zeit:** 19 Uhr **Kategorie:** Kundgebung **Thema:** Sexismus und sexualisierte Gewalt auf Festivals & Co MBI NYP"
0015.jpg,""
0016.jpg,"Entitäten: Ort (Treptow), Datum (16.11.2024), Zeit (11 bis 13 Uhr), Kategorie (Workshop), Thema (Do it Yourself Bau)"
0017.jpg,"**Entitäten:** Ort: Sowjetische Ehrenmahl Buch, Datum: 08.05.2021, Zeit: 19 Uhr, Kategorie: Kundgebung, Thema: Befreiung vom Faschismus"
0018.jpeg,"Entitäten: Ort (KASSEL), Datum (29.01.2022), Zeit (14.00 Uhr), Kategorie (Kundgebung), Thema (Impfpflicht)"
0019.jpg,""
0020.jpg,"**Ort:** MEISTERSINGERHALLE NÜRNBERG
            **Datum:** 06.09.2020
            **Zeit:** 15:30 Uhr
            **Kategorie:** Demonstration
            **Thema:** MASKENPFLICHT"
0022.jpg,"**Ort:** Berlin
**Datum:** 13.08.2022
**Zeit:** 14.00 Uhr
**Kategorie:** Demonstration
**Thema:** Aktion Resistance Frustration Gemäßkeität Widerstand Hoffnung Aufwuchs Netzwerk Isolation Resilience SOLIDARITÄT TraumaUER FLUCHT AUSBEUTUNG NEUANFANG 1 JAHR TALIBAN REGIME DEMO: SAMSTAG, 13.08.2022"
0023.jpg,"**Ort:** Biberach Gigelberg | **Datum:** 09. Mai | **Zeit:** 15.30 Uhr | **Kategorie:** Kundgebung | **Thema:** Biberach Gigelberg Demo Wahrung der Grundrechte und Freiheit Impfentscheidung Art.1: Die Würde des Menschen ist unantastbar... Art.2: Die Freiheit der Person ist unverletzlich... Art.5: Eine Zensur findet nicht statt"
0024.jpg,"**Ort:** Marktplatz Macht, Berlin
            **Datum:** 14. Februar
            **Zeit:** 16 Uhr
            **Veranstaltungsart:** Demonstration
            **Thema:** Gewalt an Frauen"
0025.jpg,"**21.12.**, **Dienstag**, **19 Uhr**, **Kundgebung**, **Landtagswahlen**"
0026.jpg,""
0027.jpg," Der Event ist ein **Kundgebung** und dient der **Vereinfachung** der Verkehrsabwicklung in der Region."
0028.jpg,"
Entitäten: Ort(Dresden), Datum(20.06.), Zeit(16:30 Uhr), Kategorie(Kundgebung), Thema(Kunde entdecken)"
0029.jpg,"**Ort:** Laskerstraße 5, **Datum:** 13.11.2021, **Zeit:** 13 Uhr, **Kategorie:** Kundgebung, **Thema:** Zukunft am Ostkreuz**"
0030.jpg,"
Entitäten: Ort(Schluss), Datum(13.6.), Zeit(16:30 Uhr), Kategorie(Kundgebung), Thema(CORONA!)"
0031.jpg,""
0032.jpg,"
Entitäten: Ort(WORKSHOP EINFÜHRUNG), Datum(16.01. & 18.01.2025), Zeit(15 - 18:00 Uhr), Kategorie(Kundgebung), Thema(Dadaismus)"
0035.jpg,"**Entitäten: Ort (Salvator), Datum (17.02.2024), Zeit (19 Uhr), Kategorie (Kundgebung), Thema (Salvator Neue Zähne beißen gut)**"
0036.jpg,"**Entitäten:** Ort: Nottul, Datum: 21.12., Zeit: 19:00 Uhr, Kategorie: Kundgebung, Thema: Limited Booze Boys FREITAG"
0037.jpeg,"**Ort:** U-BHF TÜRMSTR | **Datum:** 18.12. | **Zeit:** 19 Uhr | **Kategorie:** Demonstration | **Thema:** Freie Freiheit für Neuköll!"
0039.jpeg," **Ort:** Berlin, **Datum:** 18.03.25, **Zeit:** 19:00 Uhr, **Kategorie:** Kundgebung, **Thema**: Free Anatomy & Performance Art"
0040.jpeg,"Entitäten: Ort = Mühlstrasse 14 e.V., Datum = 21.03., Zeit = 18:00 Uhr, Kategorie = Kundgebung, Thema = Soziokulturelles Austausch"
0041.jpg,"**Entitäten:** Ort: Berlin, Datum: 21.12., Zeit: 19 Uhr, Kategorie: Kundgebung, Thema: Rumbles in der Jungle"
0043.jpg,"**Ort:** Straßen 12, 12345 Anytown
            **Datum:** 11. JANUAR 2025
            **Zeit:** 19:00 Uhr
            **Veranstaltungsart:** Kundgebung
            **Thema:** STABIL BLEIBEN UND MASSENHAFT WIDERSETZEN! LIVE DABEI: ★ ZSK ★ UND WEITERE ACTS!"
0044.jpg,"Entitäten: NICHT OHNE UNS! (Ort), Datum (21.12.), Zeit (14:30 Uhr), Kategorie (Kundgebung), Thema (Willi-Brandt-Platz Unsere Demo)"
0045.jpeg,"**Ort:** KASSEL WELTWEIT, **Datum:** 21.12., **Zeit:** 19 Uhr, **Kategorie:** Kundgebung, **Thema:** Großdemo KASSEL Frühlingserwachen – Die Welt steht auf!"
0046.jpeg,"**Ort:** Hermannstraße 48, Berlin
**Datum:** 01. März 2025
**Zeit:** 20 Uhr
**Kategorie:** Kundgebung
**Thema:** Die beste (nicht)Karnevals-Kostüm Party"
0047.jpg,"**Kundgebung**
            **JUBILÄUM SSHOW**"
0049.jpg,"Entitäten: Ort (Dreieich), Datum (21.12.2024), Zeit (20:30 Uhr), Kategorie (Kundgebung), Thema (Silvester Silvester & Wunschfeuer)"
0050.jpg,"Entitäten: Ort (Münchner Freiheit), Datum (15. August), Zeit (17:30), Kategorie (Veranstaltung), Thema (LEBENSFREUDE)"
0051.jpg,"Entitäten: Ort (Straßen mit Hausnummern 23, 45, 67), Datum (29.12.2023), Zeit (19 Uhr), Kategorie (Kundgebung), Thema (FREIHEIT #23)"
0052.jpeg,""
0054.jpg,"**21.12.**
    **Zeit:** 19 Uhr
    **Kategorie:** Kundgebung
    **Thema:** JANIS VON DEM BORNE MARION METTERNICH DETLEF WINTERBERG"
0055.jpg,"Entitäten: Ort=N/A, Datum=23.07.2025, Zeit=23–7 Uhr, Kategorie=Kundgebung, Thema=Soliparty für Frauen auf der Flucht (ROSA e.V.)"
0057.jpg,"Entitäten: Ort(HOCUS POCUS DIE INTERNATIONALE ZAUBERGALA), Datum(13. & 15.5.2022), Zeit(19 Uhr), Kategorie(VERANSTALTUNGSFORUM), Thema(STADTSAAL FÜRSTENFELD)"
0059.jpg,""
0060.jpg,"Entitäten: Ort(Brakula), Datum(22.04.), Zeit(20.12 Uhr), Kategorie(Kundgebung), Thema(POETRY B'N'B DEIN FAST PRIME-TIME POETRY SLAM 26. April 2024)"
0061.jpg,"**21.12.**, **Dienstag**, **10:00 Uhr**, **Kundgebung**, **Freedom Parade**"
0062.jpg,"**21.12.**, **Dienstag**, **19 Uhr**, **Kundgebung**, **Leseleben**"
0063.jpg,"
Entitäten: Stephansplatz, Datum: 17.03.2023, Zeit: 19:30 Uhr, Kategorie: Kundgebung, Thema: Gaslobby"
0064.jpg,"**Ort:** KIEZKLUB Treptow-Kolleg
****Datum:** 1. Juli 2023
****Zeit:** 14 – 18 Uhr
****Veranstaltungsart:** Kundgebung
****Thema:** Kreistanzgruppe, Elvis Presley Kinder- und Erwachsenen-Tanzteam, Fahrradkennzeichnung, Malen und Basteln"
0066.jpg,"
            Montag, 9. November 2022, 19 Uhr
            Kundgebung
            HocusPocus Zauberkunst"
0067.jpeg,"
Entitäten: Ort = Stadtteilkomitee_lichtenberg, Datum = 15.03.2025, Zeit = 15:00 Uhr, Kategorie = Kundgebung, Thema = Heart of Gaza"
0071.jpg,""
0072.jpg," **Ort:** Bahnhof Ried
            **Datum:** 14.02.2024
            **Zeit:** 16:30 Uhr
            **Veranstaltungsart:** Kundgebung
            **Thema:** Zusamehalten gegen Rechtsoberen"
0073.jpeg,"
Entitäten: Ort(Rigaer Straße 94), Datum(21.12.), Zeit(19:00 Uhr), Kategorie(Kundgebung), Thema(Vorführung von Künstlern)"
0074.jpg,""
0075.jpg,"
Entitäten: Ort (About Blank, Berlin), Datum (26. April), Zeit (14:00 - 19:30), Kategorie (Kundgebung), Thema (Blank Party)"
0078.png,"Entitäten: Ort (Robert Johnson Running Back Riotvan), Datum (21.12.), Zeit (19 Uhr), Kategorie (Kundgebung), Thema (Live Sara Miller)"
0080.jpg," **Ort:** Dornbirn Marktplatz
**Datum:** 18. Februar 2024
**Zeit:** 17:30 Uhr
**Kategorie:** Kundgebung
**Thema:** Demokratie und Menschenrechte"
0081.jpg,"**21.04.23**
    **19 Uhr**
    **Kundgebung**
    **Kinderschminken**"
0082.jpg,"
Entitäten: Ort (Platz ohne Namen Falckensteinst), Datum (24.02.2024), Zeit (14:00 Uhr), Kategorie (Demonstration), Thema (Wrangelkiez am Platz ohne Namen Falckensteinst)"
0086.jpg,"
Entitäten: Straßen mit Hausnummern, Datum: 21.12., Zeit: 16-18 Uhr, Kategorie: Kundgebung, Thema: Soll das zu meiner neuen Normalität werden"
0089.jpeg,"
Entitäten: FRIEDRICHSPLATZ KASSEL VOR DEM FRIDERICIANUM KUNDGEBUNG & AUFZUG Grundrechte gelten! | 21.12. | 19 Uhr | Kundgebung | Familie-Fun"
0090.jpeg,"
Entitäten: Ort = LANDESZEIT, Datum = 20.11.2021, Zeit = 12:00, Kategorie = WELT, Thema = WORLD FREEDOM DAY"
0091.jpg,"
Entitäten: Ort: Cottbus, Datum: 08. - 11. August 2024, Zeit: 19 Uhr, Kategorie: Kundgebung, Thema: Mobile Diskothek VERITAS"
0093.jpg,"**21.12.**, **Dienstag**, **19 Uhr**, **Kundgebung**, **Kniefahren**"
0094.jpg,"**Ort**: Mariannenplatz
            **Datum**: 26.04.2020
            **Zeit**: 12:00 - 19:00
            **Kategorie**: Trauerfeier
            **Thema**: *1949 - 2020*"
0095.jpg,"**Ort:** Bohemian Strawberry 🍓 & AmSTARt
**Datum:** 21.12.
**Zeit:** 19 Uhr
**Kategorie:** Kundgebung
**Thema:** ICH BRAUCHE EINE GENIE VOL. 15 POPkultur, Feminismus, Change und so... Songbook Releaseparty LIVE: KATRIN ACHINGER LESEPERFORMANCES & 1-SONG-SETS: ANNETTE BENJAMIN (HANS-A-PLAST), BERNADETTE LA HENGST, DAYN, DIE SUPERERBIN, ELKE BRAUWEILER, FAULENZA, FELINE & STRANGE, HANSJANA, LYDIA DAHER, MALONDA, MARIAMA SAFI, TOTE CRACKHUREN IM KOFFERRAUM MATCHING OUTFITS THE DOCTORELLA BABSI TOLLWUT 12.8."
0096.jpg,"
Entitäten: Rosa-Luxemburg-Platz, 21.12., 19 Uhr, Kundgebung, René"
0097.jpg,"
Entitäten: UNTERM TECHNO LIEGT DER PUNK, Datum: 13.12.2024, Zeit: 20 Uhr, Kategorie: Kundgebung, Thema: Emanzipatorische Subkultur & Bewegung in Ostdeutschland"
0098.jpg,"
**Ort:** STUTZBERG
**Datum:** 2. Oktober 2023
**Zeit:** 18:00 Uhr
**Kategorie:** Kundgebung
**Thema:** Benefizveranstaltung von ://about blank und top b3rlin MOVING BEYOND HOPE antinationale amplitude wider die großwetterlage montag"
0099.jpg,"
Entitäten: Ort(Volksbuhne), Datum(29.09.), Zeit(21 Uhr), Kategorie(Kundgebung), Thema(Vergessene Arbeitskämpfe PUNK Abend Eintritt 8€ Roter Salon)"
0100.jpg,"
            Kundgebung
            Familie- und Kinderspiel"
0101.jpg,"**Ort:** Alt-Hohenschönhausen Suermondtstraße 46
**Datum:** 28. Mai 2021
**Zeit:** 17 Uhr
**Kategorie:** Kundgebung
**Thema:** Stolpersteinverlegung"
0103.jpg,"**Ort**: Mariannenplatz ****Datum**: 17.05.2020 **Zeit**: 14-18 Uhr **Kategorie**: Kundgebung ****Thema**: Kunst und Musik"
0104.jpg,"
Entitäten: Ort(Kiezklub Rathaus Johannisthal Sterndamm 102), Datum(21.12.), Zeit(19 Uhr), Kategorie(Draußen), Thema(Glühwein und Gegrilltes Feuertonne und Stockbrot weihnachtliche Livemusik Stände mit interessanten Dingen Drinnen: Bastelstraße Kindertheater aus dem Koffer Filzen"
0106.jpg,"
Entitäten: Ort (Rosa-Luxemburg-Platz), Datum (21.12.), Zeit (19 Uhr), Kategorie (Kundgebung), Thema (Protests gegen Faschismus)"
0108.jpg,"
- Ort: Rosa- Luxemburg- Platz
- Datum: 21.12.2018
- Zeit: 19:00 Uhr
- Kategorie: Kundgebung
- Thema: Jazzanova The Pool Record Release"
0110.jpg,"
Entitäten: Ort(A100 WEGBASSEN), Datum(2.9. 14°°–22°°), Zeit(19 Uhr), Kategorie(Kundgebung), Thema(CLUBS. STADT. KLIMAKRIZE. A100WEGBASSEN)"
0111.jpg,"
**Ort:** Markgrafendamm 24c, 10245 Berlin

**Datum:** 21.12.

**Zeit:** 19 Uhr

**Kategorie:** Kundgebung

**Thema:** Martin Krauß (Sportjournalist taz), Dr. Michela Wrong (britische Journalistin), Fabian Kunow (Moderation), und anschl. Kinodokumentation When we were Kings (1997)"
0112.jpg,"
**Ort:** Berlin
**Datum:** 20.09.19
**Zeit:** 15:00 Uhr
**Kategorie:** Kundgebung
**Thema:** Rave auf dem Dancefloor"
0113.jpg,"**Ort:** BERLIN
            **Datum:** 9. MAI 2021
            **Zeit:** 17:30
            **Kategorie:** Demonstration
            **Thema:** Nazideutschland Nie Wiederfaschismus!"
0114.jpg,"
Entitäten: Ort (STATT), Datum (15.07.23), Zeit (15:00 Uhr), Kategorie (Veranstaltung), Thema (KEIN RAMMSTEIN VOR GERICHT STATT AUF DIE BÜHNE!)"
0115.jpg,"
Entitäten: Ort(N/A), Datum(21.11.), Zeit(20 Uhr), Kategorie(Kundgebung), Thema( soliparty gegen das klima der angst)"
0116.jpg,"
Entitäten: Ort(Karlsruhe), Datum(08.08.20), Zeit(12:30–18 Uhr), Kategorie(Kundgebung), Thema(Meditation LiveStream)"
0117.jpg,""
0118.jpeg,""
0119.jpeg,"
**Entitäten:** Ort: Berlin, Datum: 21.12., Zeit: 19 Uhr, Kategorie: Kundgebung, Thema: Palästina Samstag"
0120.jpg,"
Entitäten: Ort(STADTHALLE LEONBERG), Datum(22.01.), Zeit(19:00), Kategorie(EINLASS), Thema(Wahlkampf-Veranstaltung STADTHALLE LEONBERG)"
0121.jpg,"
- Ort: Auguste-Viktoria-Allee 99
- Datum: 21.12.2024
- Zeit: 19 Uhr
- Kategorie: Kundgebung
- Thema: Nikolaus"
0122.jpg,"**Ort:** Wien, **Datum:** 25. APRIL, **Zeit:** 20.00 Uhr **Kategorie:** Kundgebung, **Thema:** Lieder, GEDICHTE"
0123.jpg," **solidaritätsdemo**"
