bild,anzahl_zeilen,CER_durchschnitt,WER_durchschnitt
0001.jpg,6,0.05,0.167
0002.jpg,7,0.429,0.429
0003.jpg,11,0.643,0.732
0004.jpg,7,0.571,0.571
0006.jpg,8,0.875,0.875
0007.jpg,6,1.0,1.0
0008.jpg,13,0.197,0.385
0009.jpg,15,0.624,0.678
0010.jpg,4,1.0,1.0
0011.jpg,7,0.234,0.286
0012.jpg,10,0.9,0.9
0013.jpg,9,0.582,0.729
0014.jpg,8,0.634,0.671
0015.jpg,5,0.504,0.867
0016.jpg,10,0.243,0.3
0017.jpg,10,1.0,1.0
0018.jpeg,8,0.264,0.25
0019.jpg,8,0.917,1.0
0020.jpg,12,0.484,0.542
0022.jpg,13,1.0,1.0
0023.jpg,11,0.691,0.75
0024.jpg,11,0.711,0.8
0025.jpg,9,0.836,0.944
0026.jpg,6,1.0,1.0
0027.jpg,5,1.0,1.0
0028.jpg,6,0.527,0.639
0029.jpg,8,1.0,1.0
0030.jpg,6,0.572,0.75
0031.jpg,6,0.895,0.875
0032.jpg,8,0.368,0.448
0033.jpg,17,0.567,0.755
0034.jpg,18,0.801,0.907
0035.jpg,8,0.714,0.75
0036.jpg,11,1.0,1.0
0037.jpeg,8,1.0,1.0
0039.jpeg,10,1.0,1.0
0040.jpeg,9,0.735,0.937
0041.jpg,12,0.442,0.5
0042.jpg,16,1.0,1.0
0043.jpg,8,0.64,0.708
0044.jpg,6,0.67,0.694
0045.jpeg,15,1.0,1.0
0046.jpeg,15,0.779,0.939
0047.jpg,9,0.59,0.667
0049.jpg,12,0.639,0.655
0050.jpg,7,0.571,0.571
0051.jpg,6,1.0,1.0
0052.jpeg,11,0.909,0.909
0053.jpg,6,0.5,0.5
0054.jpg,8,0.882,0.9
0055.jpg,20,1.0,1.0
0057.jpg,14,0.794,0.829
0058.jpg,12,1.0,1.0
0059.jpg,7,1.0,1.0
0060.jpg,7,0.719,0.743
0061.jpg,6,1.0,1.0
0062.jpg,13,0.618,0.628
0063.jpg,12,0.417,0.417
0064.jpg,29,0.621,0.621
0065.jpg,12,1.0,1.0
0066.jpg,6,0.068,0.233
0067.jpeg,9,0.153,0.133
0068.jpg,16,1.0,1.0
0069.jpg,18,0.284,0.488
0070.jpg,10,0.317,0.4
0071.jpg,7,1.0,1.0
0072.jpg,27,0.717,0.814
0073.jpeg,10,0.613,0.7
0074.jpg,10,0.528,0.6
0075.jpg,6,0.896,1.0
0076.jpg,11,0.916,0.955
0077.jpg,6,0.357,0.5
0078.png,21,0.796,0.852
0080.jpg,23,0.88,0.93
0081.jpg,18,0.749,0.819
0082.jpg,9,1.0,1.0
0083.jpg,7,0.632,0.905
0084.jpeg,10,0.914,1.0
0086.jpg,6,0.506,0.583
0089.jpeg,11,0.455,0.455
0090.jpeg,14,0.868,0.929
0091.jpg,15,1.0,1.0
0093.jpg,17,0.95,0.956
0094.jpg,15,0.933,0.933
0095.jpg,18,1.0,1.0
0096.jpg,6,0.892,0.944
0097.jpg,12,1.0,1.0
0098.jpg,11,1.0,1.0
0099.jpg,10,1.0,1.0
0100.jpg,5,1.0,1.0
0101.jpg,13,0.887,0.942
0103.jpg,12,0.715,0.75
0104.jpg,12,0.106,0.167
0105.jpg,15,1.0,1.0
0106.jpg,12,1.0,1.0
0107.jpg,6,1.0,1.0
0108.jpg,9,1.0,1.0
0109.jpg,4,1.0,1.0
0110.jpg,5,1.0,1.0
0111.jpg,13,1.0,1.0
0112.jpg,8,0.668,0.706
0113.jpg,8,0.709,0.906
0114.jpg,8,0.895,0.893
0115.jpg,5,0.88,0.8
0116.jpg,15,0.497,0.5
0117.jpg,6,0.885,0.875
0118.jpeg,6,0.844,1.0
0119.jpeg,5,0.27,0.267
0120.jpg,13,0.781,0.8
0121.jpg,5,0.261,0.24
0122.jpg,26,0.905,0.949
0123.jpg,5,0.6,0.6
0124.jpg,8,0.375,0.375
0127.jpeg,8,1.0,1.0
0128.jpg,15,0.519,0.6
0129.jpg,10,0.74,0.8
0130.jpg,10,0.8,0.8
0131.jpeg,12,0.524,0.528
0132.jpg,6,0.667,0.667
0133.jpg,5,0.26,0.533
0134.jpg,8,0.786,0.812
0135.jpg,9,0.718,0.713
0136.jpg,8,0.514,0.542
0137.jpg,8,0.288,0.25
0139.jpg,8,0.416,0.479
0140.jpg,12,0.118,0.183
0142.jpeg,12,0.023,0.0
0143.jpg,5,0.084,0.0
0145.jpg,9,0.907,0.889
0146.jpg,12,1.0,1.0
0147.jpeg,8,0.135,0.25
0148.jpg,12,0.091,0.11
0149.jpg,18,1.0,1.0
0151.jpg,6,0.667,0.667
0152.jpg,5,1.0,1.0
0153.jpg,21,0.67,0.687
0154.jpeg,7,0.714,0.714
0155.jpg,5,0.681,0.9
0156.jpeg,10,1.0,1.0
0157.jpg,10,0.232,0.275
0158.jpg,5,0.7,0.6
0160.jpg,6,0.225,0.278
0161.jpg,16,0.812,0.812
0162.jpeg,17,0.488,0.529
0163.jpg,8,0.15,0.25
0164.jpg,11,0.309,0.364
0165.jpg,13,0.73,0.731
0166.jpg,8,1.0,1.0
0167.jpg,11,0.614,0.674
0168.jpg,15,0.636,0.757
0169.jpeg,11,1.0,1.0
0170.jpeg,9,0.472,0.556
0171.jpg,16,0.275,0.281
0172.jpg,13,0.876,0.897
0173.jpg,10,1.0,1.0
0174.jpg,12,0.917,0.917
0175.jpg,6,0.343,0.375
0176.jpg,13,0.33,0.353
0177.jpg,15,0.89,0.906
0178.jpg,14,0.786,0.786
0179.jpg,13,0.871,1.0
0180.jpg,12,0.176,0.167
0181.jpg,11,0.28,0.333
0182.jpg,9,0.67,0.704
0183.jpg,8,1.0,1.0
0184.jpg,15,0.831,0.833
0185.jpg,11,0.944,1.0
0186.jpg,17,0.194,0.333
0187.jpg,5,1.0,1.0
0190.jpg,7,0.619,0.643
0191.jpg,8,1.0,1.0
0191.jpg,11,1.0,1.0
0193.jpg,8,1.0,1.0
0194.jpg,8,1.0,1.0
0195.jpg,12,1.0,1.0
0196.jpg,11,0.636,0.636
0197.jpg,11,0.339,0.379
0198.jpg,9,0.341,0.415
0199.jpg,8,0.762,0.833
0200.jpg,9,0.589,0.63
0201.jpg,10,0.625,0.75
0202.jpg,19,0.901,0.912
0203.jpg,10,0.679,0.808
0204.jpg,26,0.928,0.944
0205.jpg,10,0.504,0.543
0206.jpg,10,0.8,0.8
0207.jpg,5,0.557,0.9
0208.jpg,12,0.206,0.22
0209.jpg,9,0.589,0.683
0210.jpg,8,1.0,1.0
0211.jpg,6,0.511,0.556
0212.jpg,9,0.58,0.667
0213.jpg,11,0.545,0.545
0214.jpg,11,0.823,0.844
0215.jpg,13,0.769,0.769
0216.jpg,12,0.526,0.562
0217.jpg,10,0.517,0.5
0218.jpg,5,1.0,1.0
0219.jpg,10,0.553,0.7
0220.jpg,10,1.0,1.0
0221.jpg,9,0.298,0.528
0222.jpg,16,0.72,0.875
0223.jpg,11,1.0,1.0
0224.jpg,11,0.913,0.932
0225.jpg,7,0.672,0.929
0226.jpg,9,0.914,1.0
0227.jpg,8,0.538,0.667
0228.jpg,8,0.352,0.338
0229.jpg,8,1.0,1.0
0230.jpg,7,0.571,0.571
0231.jpg,10,1.0,1.0
0232.jpg,12,0.44,0.458
0233.jpg,8,1.0,1.0
0234.jpg,4,0.783,0.812
0235.jpg,8,0.875,0.875
0236.jpg,5,0.879,0.933
0237.jpg,8,0.023,0.042
0238.jpg,13,0.768,0.944
0239.jpg,11,1.0,1.0
0240.jpg,10,0.4,0.4
0241.jpg,17,0.941,0.941
