bild,anzahl_zeilen_gt,anzahl_zeilen_erkannt,Erkennungsrate,CER_durchschnitt,WER_durchschnitt
0007.jpg,6,0,0.0,,
0008.jpg,13,11,0.8461538461538461,0.051,0.273
0009.jpg,15,6,0.4,0.061,0.196
0011.jpg,7,6,0.8571428571428571,0.106,0.167
0014.jpg,8,3,0.375,0.024,0.122
0025.jpg,9,2,0.2222222222222222,0.264,0.75
0026.jpg,6,0,0.0,,
0027.jpg,5,0,0.0,,
0032.jpg,8,6,0.75,0.157,0.264
0036.jpg,11,0,0.0,,
0037.jpeg,8,0,0.0,,
0042.jpg,16,0,0.0,,
0053.jpg,6,3,0.5,0.0,0.0
0055.jpg,20,0,0.0,,
0058.jpg,12,0,0.0,,
0068.jpg,16,0,0.0,,
0075.jpg,6,1,0.16666666666666666,0.375,1.0
0076.jpg,11,1,0.09090909090909091,0.071,0.5
0083.jpg,7,3,0.42857142857142855,0.142,0.778
0084.jpeg,10,1,0.1,0.143,1.0
0086.jpg,6,3,0.5,0.013,0.167
0091.jpg,15,0,0.0,,
0095.jpg,18,0,0.0,,
0096.jpg,6,1,0.16666666666666666,0.353,0.667
0099.jpg,10,0,0.0,,
0100.jpg,5,0,0.0,,
0104.jpg,12,11,0.9166666666666666,0.024,0.091
0107.jpg,6,0,0.0,,
0109.jpg,4,0,0.0,,
0110.jpg,5,0,0.0,,
0115.jpg,5,1,0.2,0.4,0.0
0143.jpg,5,5,1.0,0.084,0.0
0145.jpg,9,1,0.1111111111111111,0.167,0.0
0149.jpg,18,0,0.0,,
0151.jpg,6,2,0.3333333333333333,0.0,0.0
0156.jpeg,10,0,0.0,,
0172.jpg,13,2,0.15384615384615385,0.196,0.333
0174.jpg,12,1,0.08333333333333333,0.0,0.0
0183.jpg,8,0,0.0,,
0184.jpg,15,3,0.2,0.157,0.167
0185.jpg,11,1,0.09090909090909091,0.385,1.0
0190.jpg,7,3,0.42857142857142855,0.111,0.167
0193.jpg,8,0,0.0,,
0195.jpg,12,0,0.0,,
0207.jpg,5,3,0.6,0.262,0.833
0211.jpg,6,3,0.5,0.022,0.111
0214.jpg,11,2,0.18181818181818182,0.025,0.143
0226.jpg,9,1,0.1111111111111111,0.222,1.0
0227.jpg,8,4,0.5,0.076,0.333
0229.jpg,8,0,0.0,,
0239.jpg,11,0,0.0,,
