name,category,ground_truth,ocr_tesseract,similarity,char_accuracy,word_accuracy,normalized_ocr_tesseract,similarity02,char_accuracy02
0001.jpg,background,SPRACHCAFE WEIHNACHTSFEIER DIENSTAG 21.12 OLOF-PALME ZENTRUM 19 UHR WIR FREUEN UNS AUF EUCH!,"ÄCHCAFE—&
aHTSFELER

DIENSTAG 21.12.
OLOF-PALME ZENTRUM —
19 UHR

WIR FREUEN UNS AUF EUCH!",0.0,0.8260869565217391,0.23076923076923078,ÄCHCAFE—& aHTSFELER DIENSTAG 21.12. OLOF-PALME ZENTRUM — 19 UHR WIR FREUEN UNS AUF EUCH!,0.0,0.8260869565217391
0002.jpg,background,"SCHLIESST EUCH AN! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG #SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? DRESDEN, GROßER GARTEN, 8.8. UM 16 UHR","#SOLIDARITÄT MIT ALLEN!

BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH?

Dresden, Großer Garten, 8.8. um 16 Uhr

CT",0.0,0.4772727272727273,0.0,"#SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? Dresden, Großer Garten, 8.8. um 16 Uhr CT",0.0,0.4772727272727273
0003.jpg,background,"»ES IST GESCHEHEN UND FOLGLICH KANN ES WIEDER GESCHEHEN.« Primo Levi Gedenkkundgebung und antifaschistische Demonstration Mahnmal Levetzowstraße, Berlin-Moabit 9. November 1938–2023 18:00 Uhr 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus! 9november.blackblogs.org","Gedenkkundgebung und

antifaschistische Demonstration

)) Mahnmal Levetzowstraße, Berlin-Moabit
9. November

18:00 Uhr

& [Sj
WWIEDER GEBGHEHEN.

|

85 Jahre nach den Novemberpogromen;
Solidarität mit den Opfern des
Onovember.blackblogs.org deutschen Antisemitismus und Rassismus!",0.0,0.5201238390092879,0.0,"Gedenkkundgebung und antifaschistische Demonstration )) Mahnmal Levetzowstraße, Berlin-Moabit 9. November 18:00 Uhr & [Sj WWIEDER GEBGHEHEN. | 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des Onovember.blackblogs.org deutschen Antisemitismus und Rassismus!",0.0,0.5201238390092879
0004.jpg,background,"FEIERABEND SINGEN KULTUR NETZ Meiendorf IMMER UM 17.00 UHR JEDE*R IST ♥-LICH WILLKOMMEN! MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25","Ö

A JEDEIR IST o-LS%WILLKQMMENLÄ

S",0.0,0.15189873417721522,0.0,Ö A JEDEIR IST o-LS%WILLKQMMENLÄ S,0.0,0.15189873417721522
0006.jpg,background,IHR HABT UNS DIE STADT GESTOHLEN GEBT SIE WIEDER HER! DEMO GEGEN GENTRIFIZIERUNG 09. JULI 2022 / 15:00 UHR,"Aul
DEMO GEGEN GENTRIFIZIERUNG
Na 2022 / 15:00 UHR",0.0,0.4339622641509434,0.0,Aul DEMO GEGEN GENTRIFIZIERUNG Na 2022 / 15:00 UHR,0.0,0.4339622641509434
0007.jpg,background,9. Mai 2024 Demo Herrentag Tag der Befreiung! 13h Ostkreuz (Seite Sonntagstraße),,0.0,0.0,0.0,,0.0,0.0
0008.jpg,background,24.10.2024 20H–5H ECO-RAVEOLUTION dancing4climate ://about blank Bands 20–22H: IVAN T.X.A.P Leitplanke Line-Up 22–5H: Behind Those Ears flashks b2b futuretrash aqua veen joshi reinard noa boiler,"24.10.2024.20H-5H | :/Tabout blank

$=R E6O:

OLU'I'
/",0.0,0.19072164948453607,0.0,24.10.2024.20H-5H | :/Tabout blank $=R E6O: OLU'I' /,0.0,0.19072164948453607
0009.jpg,background,"OMAS GEGEN RECHTS Benefizabend am 10. Mai 2022, 19:30 Uhr Atelier­theater, Burggasse 71, 1070 Wien Anmeldung: www.ateliertheater.wien Harri Stojka Shlomit Butbul Klezmer Reloaded The English Lovers Aret Aleksanyan Muamer Budimlic Margaret Carter Caroline Koczan Ingrid Porzner Monika Salzer Susanne Scholl Jenny Simanowitz Kathy Tanner Vira Zhuk und OMAS-ON-STAGE ATELIERTHEATER Eintritt frei",>|\g|_ASÜI:'GEI5!REM,0.0,0.022959183673469385,0.0,>|\g|_ASÜI:'GEI5!REM,0.0,0.022959183673469385
0010.jpg,background,GRUNDGESETZ MEDITATION 02.05.2020 15:30 UHR REWE BLIESKASTEL,"GRU#@ESETZ
MEDITARION
02.05/2020 15:30 UHR
REWELBLIESKÄASTEL",0.0,0.8833333333333333,0.2857142857142857,GRU#@ESETZ MEDITARION 02.05/2020 15:30 UHR REWELBLIESKÄASTEL,0.0,0.8833333333333333
0011.jpg,background,SAVE THE DATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD-BUNDESPARTEITAG STOPPT DIE AfD Aufstehen-gegen-Rassismus.de,"Z Am II |anuar 2025 al

\A 5E S 5
C „55*_«‚w nach Riesa ; f jg% A

(""‚l ?'?;v„„-",0.0,0.23199999999999998,0.0,"Z Am II |anuar 2025 al \A 5E S 5 C „55*_«‚w nach Riesa ; f jg% A (""‚l ?'?;v„„-",0.0,0.23199999999999998
