file_name,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,mean_char_acc,mean_word_acc
0001.jpg,6,8,4,0.35185185185185186,0.4166666666666667,0.6568627450980392,0.6666666666666666
0002.jpg,7,5,3,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855
0003.jpg,11,16,5,0.5895388395388396,0.6212121212121212,0.41410018552875694,0.2727272727272727
0004.jpg,11,5,1,0.9435736677115988,1.0,0.05944055944055944,0.0
0006.jpg,8,4,2,0.79,0.7916666666666666,0.20625,0.125
0007.jpg,6,1,0,1.0,1.0,0.0,0.0
0008.jpg,13,8,0,1.0,1.0,0.0,0.0
0009.jpg,15,3,0,1.0,1.0,0.0,0.0
0010.jpg,4,7,4,0.13693181818181815,0.8333333333333334,0.8595959595959596,0.16666666666666666
0011.jpg,7,11,0,1.0,1.0,0.0,0.0
0012.jpg,10,17,4,0.6271708683473389,0.6547619047619048,0.3766812865497077,0.3
0013.jpg,9,8,4,0.5717592592592592,0.6444444444444444,0.43265993265993263,0.3111111111111111
0014.jpg,8,1,0,1.0,1.0,0.0,0.0
0015.jpg,5,5,2,0.6747252747252748,0.8333333333333333,0.33030303030303027,0.2333333333333333
0016.jpg,10,11,6,0.46356321839080455,0.65,0.5646638655462185,0.4
0017.jpg,10,18,7,0.3439814814814815,0.4833333333333333,0.6628449197860963,0.5333333333333333
0018.jpeg,8,9,2,0.795138888888889,0.9583333333333333,0.2092245989304813,0.041666666666666664
0019.jpg,8,5,2,0.8220588235294117,1.125,0.21029411764705883,0.125
0020.jpg,12,16,7,0.48371362433862436,0.5694444444444444,0.5171737660581474,0.4305555555555555
0022.jpg,13,15,12,0.10552268244575937,0.1346153846153846,0.9043478260869565,0.8269230769230769
0023.jpg,11,15,5,0.602063335215509,0.7045454545454546,0.41064935064935065,0.36363636363636365
0024.jpg,11,12,5,0.6420921902371428,0.8090909090909091,0.36905594405594405,0.23636363636363636
0025.jpg,9,1,0,1.0,1.0,0.0,0.0
0026.jpg,6,1,0,1.0,1.0,0.0,0.0
0027.jpg,5,1,0,1.0,1.0,0.0,0.0
0028.jpg,6,4,1,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666
0029.jpg,8,16,2,0.7611111111111111,0.8541666666666666,0.23755787037037038,0.14583333333333331
0030.jpg,6,2,1,0.8558558558558559,1.0,0.14583333333333334,0.027777777777777776
0031.jpg,6,4,3,0.5982854864433812,1.0,0.40858585858585855,0.08333333333333333
0032.jpg,8,4,0,1.0,1.0,0.0,0.0
0033.jpg,17,6,1,0.9536541889483066,1.019607843137255,0.04554079696394687,0.0
0034.jpg,18,9,7,0.6566799213858038,0.7222222222222222,0.35370370370370374,0.2777777777777778
0035.jpg,8,19,3,0.6928733031674208,1.0,0.3401442307692308,0.125
0036.jpg,11,1,0,1.0,1.0,0.0,0.0
0037.jpeg,8,1,0,1.0,1.0,0.0,0.0
0039.jpeg,10,23,3,0.7571428571428571,0.8,0.2666666666666667,0.2
0040.jpeg,9,13,4,0.574074074074074,0.6666666666666666,0.42592592592592593,0.3333333333333333
0041.jpg,12,17,12,0.10291016876970221,0.4166666666666667,0.9368126137147876,0.6111111111111112
0042.jpg,16,6,0,1.0,1.0,0.0,0.0
0043.jpg,8,13,5,0.4408463084933673,0.6666666666666666,0.5658784893267652,0.20833333333333331
0044.jpg,6,3,2,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
0045.jpeg,15,20,9,0.4752205268072141,0.6333333333333333,0.5335317460317461,0.36666666666666664
