bild,anzahl_zeilen,CER_durchschnitt,WER_durchschnitt
0001.jpg,6,0.352,0.333
0002.jpg,7,0.571,0.571
0003.jpg,11,0.644,0.636
0004.jpg,7,0.911,0.964
0006.jpg,8,0.79,0.792
0007.jpg,6,1.0,1.0
0008.jpg,13,1.0,1.0
0009.jpg,15,1.0,1.0
0010.jpg,4,0.137,0.833
0011.jpg,7,1.0,1.0
0012.jpg,10,0.627,0.621
0013.jpg,9,0.502,0.607
0014.jpg,8,1.0,1.0
0015.jpg,5,0.675,0.767
0016.jpg,10,0.464,0.45
0017.jpg,10,0.344,0.4
0018.jpeg,8,0.795,0.896
0019.jpg,8,0.822,0.875
0020.jpg,12,0.484,0.569
0022.jpg,13,0.106,0.135
0023.jpg,11,0.602,0.606
0024.jpg,11,0.642,0.709
0025.jpg,9,1.0,1.0
0026.jpg,6,1.0,1.0
0027.jpg,5,1.0,1.0
0028.jpg,6,0.833,0.833
0029.jpg,8,0.761,0.854
0030.jpg,6,0.856,0.944
0031.jpg,6,0.598,0.917
0032.jpg,8,1.0,1.0
0033.jpg,17,0.954,1.0
0034.jpg,18,0.686,0.722
0035.jpg,8,0.693,0.625
0036.jpg,11,1.0,1.0
0037.jpeg,8,1.0,1.0
0039.jpeg,10,0.8,0.8
0040.jpeg,9,0.574,0.667
0041.jpg,12,0.139,0.181
0042.jpg,16,1.0,1.0
0043.jpg,8,0.441,0.625
0044.jpg,6,0.667,0.667
0045.jpeg,15,0.513,0.633
0046.jpeg,15,0.873,0.978
0047.jpg,9,0.66,0.806
0049.jpg,12,0.645,0.651
0050.jpg,7,0.311,0.343
0051.jpg,6,0.706,0.722
0052.jpeg,11,0.823,0.977
0053.jpg,6,1.0,1.0
0054.jpg,8,0.766,0.906
0055.jpg,20,1.0,1.0
0057.jpg,14,0.471,0.452
0058.jpg,12,1.0,1.0
0059.jpg,7,0.888,0.893
0060.jpg,7,0.857,0.857
0061.jpg,6,0.573,0.622
0062.jpg,13,0.788,0.846
0063.jpg,12,0.583,0.583
0064.jpg,29,0.047,0.078
0065.jpg,12,0.85,0.908
0066.jpg,6,0.055,0.233
0067.jpeg,9,0.322,0.244
0068.jpg,16,1.0,1.0
0069.jpg,18,0.108,0.322
0070.jpg,10,0.8,0.8
0071.jpg,7,0.767,0.81
0072.jpg,27,0.727,0.789
0073.jpeg,10,0.9,0.9
0074.jpg,10,0.307,0.35
0075.jpg,6,1.0,1.0
0076.jpg,11,1.0,1.0
0077.jpg,6,0.524,0.667
0078.png,21,0.957,0.962
0080.jpg,23,0.667,0.741
0081.jpg,18,0.96,1.0
0082.jpg,9,0.932,0.944
0083.jpg,7,1.0,1.0
0084.jpeg,10,1.0,1.0
0086.jpg,6,1.0,1.0
0089.jpeg,11,0.364,0.364
0090.jpeg,14,0.616,0.69
0091.jpg,15,1.0,1.0
0093.jpg,17,0.407,0.353
0094.jpg,15,0.706,0.776
0095.jpg,18,1.0,1.0
0096.jpg,6,1.0,1.0
0097.jpg,12,0.458,0.5
0098.jpg,11,0.476,0.544
0099.jpg,10,1.0,1.0
0100.jpg,5,1.0,1.0
0101.jpg,13,0.821,0.837
0103.jpg,12,0.17,0.179
0104.jpg,12,1.0,1.0
0105.jpg,15,0.454,0.503
0106.jpg,12,0.434,0.492
0107.jpg,6,1.0,1.0
0108.jpg,9,0.476,0.556
0109.jpg,4,1.0,1.0
0110.jpg,5,1.0,1.0
0111.jpg,13,0.53,0.519
0112.jpg,8,0.676,0.675
0113.jpg,8,0.727,0.75
0114.jpg,8,0.909,0.911
0115.jpg,5,1.0,1.0
0116.jpg,15,0.8,0.8
0117.jpg,6,0.879,0.833
0118.jpeg,6,0.867,1.0
0119.jpeg,5,0.27,0.267
0120.jpg,13,0.769,0.769
0121.jpg,5,0.689,0.6
0122.jpg,26,0.467,0.523
0123.jpg,5,0.0,0.0
0124.jpg,8,0.375,0.375
0127.jpeg,8,0.513,0.5
0128.jpg,15,0.588,0.6
0129.jpg,10,0.74,0.8
0130.jpg,10,0.459,0.483
0131.jpeg,12,0.466,0.486
0132.jpg,6,0.35,0.4
0133.jpg,5,0.249,0.533
0134.jpg,8,0.0,0.0
0135.jpg,9,0.712,0.75
0136.jpg,8,0.04,0.104
0137.jpg,8,0.523,0.562
0139.jpg,8,0.275,0.25
0140.jpg,12,0.348,0.374
0142.jpeg,12,0.037,0.167
0143.jpg,5,1.0,1.0
0145.jpg,9,1.0,1.0
0146.jpg,12,0.616,0.611
0147.jpeg,8,0.424,0.656
0148.jpg,12,0.003,0.017
0149.jpg,18,1.0,1.0
0151.jpg,6,1.0,1.0
0152.jpg,5,0.831,0.867
0153.jpg,21,0.637,0.639
0154.jpeg,7,0.911,1.0
0155.jpg,5,0.517,0.9
0156.jpeg,10,1.0,1.0
0157.jpg,10,0.232,0.275
0158.jpg,5,0.7,0.6
0160.jpg,6,0.578,0.667
0161.jpg,16,0.833,0.859
0162.jpeg,17,0.359,0.384
0163.jpg,8,0.351,0.708
0164.jpg,11,0.321,0.364
0165.jpg,13,0.779,0.769
0166.jpg,8,0.25,0.25
0167.jpg,11,0.625,0.719
0168.jpg,15,0.267,0.267
0169.jpeg,11,0.174,0.238
0170.jpeg,9,0.119,0.185
0171.jpg,16,0.282,0.285
0172.jpg,13,1.0,1.0
0173.jpg,10,0.1,0.1
0174.jpg,12,1.0,1.0
0175.jpg,6,0.01,0.042
0176.jpg,13,0.346,0.327
0177.jpg,15,0.867,0.867
0178.jpg,14,0.53,0.61
0179.jpg,13,0.547,0.615
