bild,anzahl_zeilen_gt,anzahl_zeilen_erkannt,Erkennungsrate,CER_durchschnitt,WER_durchschnitt
0001.jpg,6,4,0.6666666666666666,0.028,0.0
0002.jpg,7,3,0.42857142857142855,0.0,0.0
0003.jpg,11,4,0.36363636363636365,0.02,0.0
0004.jpg,7,1,0.14285714285714285,0.379,0.75
0006.jpg,8,2,0.25,0.16,0.167
0007.jpg,6,0,0.0,,
0008.jpg,13,0,0.0,,
0009.jpg,15,0,0.0,,
0010.jpg,4,4,1.0,0.137,0.833
0011.jpg,7,0,0.0,,
0012.jpg,10,4,0.4,0.068,0.054
0013.jpg,9,5,0.5555555555555556,0.104,0.293
0014.jpg,8,0,0.0,,
0015.jpg,5,2,0.4,0.187,0.417
0016.jpg,10,6,0.6,0.106,0.083
0017.jpg,10,7,0.7,0.063,0.143
0018.jpeg,8,2,0.25,0.181,0.583
0019.jpg,8,2,0.25,0.288,0.5
0020.jpg,12,7,0.5833333333333334,0.115,0.262
0022.jpg,13,12,0.9230769230769231,0.031,0.062
0023.jpg,11,5,0.45454545454545453,0.125,0.133
0024.jpg,11,5,0.45454545454545453,0.213,0.36
0025.jpg,9,0,0.0,,
0026.jpg,6,0,0.0,,
0027.jpg,5,0,0.0,,
0028.jpg,6,1,0.16666666666666666,0.0,0.0
0029.jpg,8,2,0.25,0.044,0.417
0030.jpg,6,1,0.16666666666666666,0.135,0.667
0031.jpg,6,3,0.5,0.197,0.833
0032.jpg,8,0,0.0,,
0033.jpg,17,1,0.058823529411764705,0.212,1.0
0034.jpg,18,6,0.3333333333333333,0.058,0.167
0035.jpg,8,3,0.375,0.181,0.0
0036.jpg,11,0,0.0,,
0037.jpeg,8,0,0.0,,
0039.jpeg,10,2,0.2,0.0,0.0
0040.jpeg,9,4,0.4444444444444444,0.042,0.25
0041.jpg,12,11,0.9166666666666666,0.06,0.106
0042.jpg,16,0,0.0,,
0043.jpg,8,5,0.625,0.105,0.4
0044.jpg,6,2,0.3333333333333333,0.0,0.0
0045.jpeg,15,8,0.5333333333333333,0.086,0.312
0046.jpeg,15,3,0.2,0.364,0.889
0047.jpg,9,4,0.4444444444444444,0.235,0.562
0049.jpg,12,5,0.4166666666666667,0.149,0.162
0050.jpg,7,5,0.7142857142857143,0.035,0.08
0051.jpg,6,2,0.3333333333333333,0.118,0.167
0052.jpeg,11,3,0.2727272727272727,0.352,0.917
0053.jpg,6,0,0.0,,
0054.jpg,8,2,0.25,0.062,0.625
0055.jpg,20,0,0.0,,
0057.jpg,14,8,0.5714285714285714,0.074,0.042
0058.jpg,12,0,0.0,,
0059.jpg,7,1,0.14285714285714285,0.217,0.25
0060.jpg,7,1,0.14285714285714285,0.0,0.0
0061.jpg,6,3,0.5,0.146,0.244
0062.jpg,13,3,0.23076923076923078,0.083,0.333
0063.jpg,12,5,0.4166666666666667,0.0,0.0
0064.jpg,29,28,0.9655172413793104,0.013,0.045
0065.jpg,12,2,0.16666666666666666,0.098,0.45
0066.jpg,6,6,1.0,0.055,0.233
0067.jpeg,9,7,0.7777777777777778,0.129,0.029
0068.jpg,16,0,0.0,,
0069.jpg,18,17,0.9444444444444444,0.056,0.282
0070.jpg,10,2,0.2,0.0,0.0
0071.jpg,7,2,0.2857142857142857,0.183,0.333
0072.jpg,27,8,0.2962962962962963,0.078,0.287
0073.jpeg,10,1,0.1,0.0,0.0
0074.jpg,10,7,0.7,0.01,0.071
0075.jpg,6,0,0.0,,
0076.jpg,11,0,0.0,,
0077.jpg,6,3,0.5,0.048,0.333
0078.png,21,1,0.047619047619047616,0.107,0.2
0080.jpg,23,9,0.391304347826087,0.149,0.337
0081.jpg,18,1,0.05555555555555555,0.273,1.0
0082.jpg,9,1,0.1111111111111111,0.389,0.5
0083.jpg,7,0,0.0,,
0084.jpeg,10,0,0.0,,
0086.jpg,6,0,0.0,,
0089.jpeg,11,7,0.6363636363636364,0.0,0.0
0090.jpeg,14,6,0.42857142857142855,0.103,0.278
0091.jpg,15,0,0.0,,
0093.jpg,17,11,0.6470588235294118,0.083,0.0
0094.jpg,15,5,0.3333333333333333,0.118,0.329
0095.jpg,18,0,0.0,,
0096.jpg,6,0,0.0,,
0097.jpg,12,7,0.5833333333333334,0.071,0.143
0098.jpg,11,6,0.5454545454545454,0.039,0.164
0099.jpg,10,0,0.0,,
