file_name,Anzahl_EVENT_gt,Anzahl_EVENT_erkannt,Anzahl_TOPIC_gt,Anzahl_TOPIC_erkannt,Anzahl_DATE_gt,Anzahl_DATE_erkannt,Anzahl_TIME_gt,Anzahl_TIME_erkannt,Anzahl_LOC_gt,Anzahl_LOC_erkannt,erkannte_entities,nicht_erkannte_entities
0001.jpg,1,1,0,0,2,1,1,1,2,1,[EVENT] WEIHNACHTSFEIER; [DATE] DIENSTAG; [TIME] 19 UHR; [LOC] SPRACHCAFE,[DATE] 21.12.; [LOC] OLOF-PALME ZENTRUM 
0002.jpg,1,1,1,1,1,1,1,1,2,2,[EVENT] KUNDGEBUNG; [TOPIC] SOLIDARITÄT MIT ALLEN!; [DATE] 8.8.; [TIME] 16 Uhr; [LOC] Dresden; [LOC] Großer Garten,
0003.jpg,2,2,1,0,1,0,1,1,3,3,[EVENT] Gedenkkundgebung; [EVENT] Demonstration; [TIME] 18:00 Uhr; [LOC] Mahnmal; [LOC] Levetzowstraße; [LOC] Berlin-Moabit,[TOPIC] 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus!; [DATE] 9. November 1938–2023
0004.jpg,1,0,0,0,2,2,1,1,2,2,[DATE] MITTWOCH; [DATE] 21. JUNI 2023; [TIME] 17.00 UHR; [LOC] Grundschule Islandstraße; [LOC] Islandstraße 25,[EVENT] FEIERABEND SINGEN
0006.jpg,1,1,1,1,1,0,1,0,0,0,[EVENT] DEMO; [TOPIC] GEGEN GENTRIFIZIERUNG,[DATE] 09. JULI 2022; [TIME] 15:00 UHR
0007.jpg,1,1,1,0,1,0,1,1,2,2,[EVENT] Demo; [TIME] 13h; [LOC] Ostkreuz; [LOC] Sonntagstraße,[DATE] 9. Mai 2024; [TOPIC] Tag der Befreiung!
0009.jpg,1,0,1,0,1,1,1,0,3,0,[DATE] 10. Mai 2022,[TOPIC] OMAS GEGEN RECHTS; [EVENT] Benefizabend; [TIME] 19:30 Uhr; [LOC] Ateliertheater; [LOC] Burggasse 71; [LOC] 1070 Wien
0010.jpg,1,1,1,1,1,1,1,0,2,2,[TOPIC] GRUNDGESETZ; [EVENT] MEDITATION; [DATE] 02.05.2020; [LOC] REWE; [LOC] BLIESKASTEL,[TIME] 15:30 UHR
0011.jpg,1,1,2,0,1,1,0,0,1,1,[DATE] 11. Januar 2025; [LOC] Riesa; [EVENT] PROTEST,[TOPIC] GEGEN DEN AFD- BUNDESPARTEITAG; [TOPIC] STOPPT DIE AfD
0012.jpg,3,2,1,0,3,3,0,0,3,3,[LOC] Berlin; [DATE] 29. August; [LOC] Berlin; [DATE] 29. August; [EVENT] Parade; [EVENT] Kundgebung; [DATE] 29.8.2020; [LOC] Berlin,[EVENT] Großdemo; [TOPIC] für das Grundgesetz und eine Basis-Demokratische Wende
0013.jpg,1,1,3,0,1,0,1,1,1,1,[LOC] ORANIENPLATZ; [EVENT] KUNDGEBUNG; [TIME] 14 UHR,[DATE] 19. FEB; [TOPIC] ERINNERN HEISST KÄMPFEN!; [TOPIC] WIR FORDERN EINE LÜCKENLOSE AUFKLÄRUNG UND KONSEQUENZEN!; [TOPIC] RASSISMUS UND FASCHISMUS ENTSCHLOSSEN BEKÄMPFEN!
0014.jpg,1,1,1,0,1,0,2,1,0,0,[EVENT] Broschüren-Release; [TIME] 19 Uhr,[DATE] 5. Juli 2023; [TIME] 18:30; [TOPIC] Strategien und Maßnahmen gegen Sexismus und sexualisierte Gewalt auf Festivals & Co
0015.jpg,2,0,1,0,2,1,1,0,2,2,[DATE] FR; [LOC] ESSEN; [LOC] HBF,[DATE] 28. JUNI; [EVENT] RAVE; [EVENT] DEMO; [TOPIC] BASS GEGEN HASS; [TIME] 19 UHR
0016.jpg,1,0,2,1,2,2,1,1,2,2,[TOPIC] Bau dein eigenen PC und Smartphone; [LOC] Mittelpunktbibliothek; [LOC] Treptow; [DATE] Samstag; [DATE] 16.11.2024; [TIME] 11 bis 13 Uhr,[EVENT] WORKSHOP; [TOPIC] Do it Yourself
0017.jpg,2,2,2,0,2,1,3,0,4,4,[DATE] Sa; [EVENT] Gedenken; [LOC] Sowjetisches Ehrenmahl; [LOC] Buch; [EVENT] Kundgebung; [LOC] Bahnsteig; [LOC] S-Pankow,[TOPIC] 76 Jahre Befreiung vom Faschismus; [TOPIC] Erinnern heißt KÄMPFEN!; [DATE] 08.05.2021; [TIME] 10:00–18:00 Uhr; [TIME] 15:00 Uhr; [TIME] 14:30 Uhr
0018.jpeg,2,2,2,1,1,0,1,1,3,3,[EVENT] KUNDGEBUNG; [EVENT] AUFZUG; [LOC] KASSEL; [TOPIC] Nein zur Impfpflicht!; [TIME] 14.00 UHR; [LOC] KÖNIGSPLATZ; [LOC] KASSEL,[DATE] 29. JANUAR 2022; [TOPIC] FÜR FRIEDEN & FREIHEIT
0019.jpg,1,0,0,0,2,0,1,0,1,0,,[EVENT] antifaschistische RALLY; [LOC] BRENNER-BERG; [TIME] 12 UND 16 UHR; [DATE] 15.5.; [DATE] 16.5.
