bild,anzahl_zeilen_gt,anzahl_zeilen_erkannt,Erkennungsrate,CER_durchschnitt,WER_durchschnitt
0001.jpg,6,6,1.0,0.022,0.25
0002.jpg,7,6,0.8571428571428571,0.061,0.319
0003.jpg,11,5,0.45454545454545453,0.085,0.4
0004.jpg,11,10,0.9090909090909091,0.011,0.05
0006.jpg,8,6,0.75,0.154,0.639
0007.jpg,6,4,0.6666666666666666,0.012,0.125
0008.jpg,13,12,0.9230769230769231,0.062,0.347
0009.jpg,15,12,0.8,0.062,0.318
0010.jpg,4,4,1.0,0.035,0.333
0011.jpg,7,6,0.8571428571428571,0.026,0.319
0012.jpg,10,8,0.8,0.13,0.333
0013.jpg,9,6,0.6666666666666666,0.099,0.271
0014.jpg,8,6,0.75,0.053,0.294
0015.jpg,5,1,0.2,0.4,0.667
0016.jpg,10,8,0.8,0.047,0.125
0017.jpg,10,10,1.0,0.061,0.3
0018.jpeg,8,4,0.5,0.189,0.208
0019.jpg,8,4,0.5,0.104,0.5
0020.jpg,12,8,0.6666666666666666,0.079,0.229
0022.jpg,13,11,0.8461538461538461,0.033,0.106
0023.jpg,11,10,0.9090909090909091,0.03,0.062
0024.jpg,11,5,0.45454545454545453,0.061,0.25
0025.jpg,9,5,0.5555555555555556,0.032,0.2
0026.jpg,6,2,0.3333333333333333,0.219,1.0
0027.jpg,5,2,0.4,0.0,0.0
0028.jpg,6,5,0.8333333333333334,0.011,0.1
0029.jpg,8,3,0.375,0.08,0.389
0030.jpg,6,5,0.8333333333333334,0.011,0.05
0031.jpg,6,6,1.0,0.137,0.542
0032.jpg,8,7,0.875,0.071,0.292
0033.jpg,17,11,0.6470588235294118,0.15,0.568
0034.jpg,18,9,0.5,0.085,0.278
0035.jpg,8,4,0.5,0.092,0.125
0036.jpg,11,5,0.45454545454545453,0.182,0.56
0037.jpeg,8,5,0.625,0.27,0.486
0039.jpeg,10,4,0.4,0.079,0.5
0040.jpeg,9,7,0.7777777777777778,0.102,0.214
0041.jpg,12,10,0.8333333333333334,0.057,0.34
0042.jpg,16,1,0.0625,0.3,1.0
0043.jpg,8,3,0.375,0.0,0.0
0044.jpg,6,2,0.3333333333333333,0.246,0.875
0045.jpeg,15,7,0.4666666666666667,0.058,0.19
0046.jpeg,15,2,0.13333333333333333,0.171,0.333
0047.jpg,9,6,0.6666666666666666,0.098,0.472
0049.jpg,12,7,0.5833333333333334,0.084,0.297
0050.jpg,7,4,0.5714285714285714,0.123,0.308
0051.jpg,6,4,0.6666666666666666,0.106,0.375
0052.jpeg,11,7,0.6363636363636364,0.129,0.357
0053.jpg,6,4,0.6666666666666666,0.032,0.25
0054.jpg,8,5,0.625,0.025,0.25
0055.jpg,20,17,0.85,0.07,0.225
0057.jpg,14,9,0.6428571428571429,0.031,0.056
0058.jpg,12,9,0.75,0.06,0.222
0059.jpg,7,1,0.14285714285714285,0.348,0.25
0060.jpg,7,2,0.2857142857142857,0.172,0.4
0061.jpg,6,5,0.8333333333333334,0.193,0.63
0062.jpg,13,6,0.46153846153846156,0.07,0.458
0063.jpg,12,11,0.9166666666666666,0.046,0.318
0064.jpg,29,28,0.9655172413793104,0.009,0.06
0065.jpg,12,6,0.5,0.178,0.675
0066.jpg,6,6,1.0,0.071,0.233
0067.jpeg,9,6,0.6666666666666666,0.075,0.167
0068.jpg,16,2,0.125,0.194,0.5
0069.jpg,18,4,0.2222222222222222,0.095,0.175
0070.jpg,10,9,0.9,0.041,0.278
0071.jpg,7,3,0.42857142857142855,0.235,0.778
0072.jpg,27,21,0.7777777777777778,0.082,0.397
0073.jpeg,10,9,0.9,0.049,0.222
0074.jpg,10,9,0.9,0.053,0.222
0075.jpg,6,3,0.5,0.304,0.878
0076.jpg,11,5,0.45454545454545453,0.208,0.7
0077.jpg,6,4,0.6666666666666666,0.036,0.25
0078.png,21,14,0.6666666666666666,0.107,0.306
0080.jpg,23,3,0.13043478260869565,0.21,0.583
0081.jpg,18,10,0.5555555555555556,0.108,0.383
0082.jpg,9,4,0.4444444444444444,0.115,0.688
0083.jpg,7,6,0.8571428571428571,0.291,0.833
0084.jpeg,10,4,0.4,0.125,0.25
