file_name,Anzahl_EVENT_gt,Anzahl_EVENT_erkannt,Anzahl_TOPIC_gt,Anzahl_TOPIC_erkannt,Anzahl_DATE_gt,Anzahl_DATE_erkannt,Anzahl_TIME_gt,Anzahl_TIME_erkannt,Anzahl_LOC_gt,Anzahl_LOC_erkannt,erkannte_entities,nicht_erkannte_entities,Erkennungsrate_EVENT,Erkennungsrate_TOPIC,Erkennungsrate_DATE,Erkennungsrate_TIME,Erkennungsrate_LOC
0001.jpg,1,0,0,0,2,1,1,1,2,2,[DATE] DIENSTAG; [TIME] 19 UHR; [LOC] SPRACHCAFE; [LOC] OLOF-PALME ZENTRUM,[EVENT] WEIHNACHTSFEIER; [DATE] 21.12.,0.0,0.0,0.5,1.0,1.0
0002.jpg,1,1,1,1,1,1,1,1,2,2,[EVENT] KUNDGEBUNG; [TOPIC] SOLIDARITÄT MIT ALLEN!; [DATE] 8.8.; [TIME] 16 Uhr; [LOC] Dresden; [LOC] Großer Garten,,1.0,1.0,1.0,1.0,1.0
0003.jpg,2,2,1,0,1,0,1,1,3,3,[EVENT] Gedenkkundgebung; [EVENT] Demonstration; [TIME] 18:00 Uhr; [LOC] Mahnmal; [LOC] Levetzowstraße; [LOC] Berlin-Moabit,[TOPIC] Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus!; [DATE] 9. November 1938–2023,1.0,0.0,0.0,1.0,1.0
0004.jpg,1,0,0,0,2,2,1,0,2,2,[DATE] MITTWOCH; [DATE] 21. JUNI 2023; [LOC] Grundschule Islandstraße; [LOC] Islandstraße 25,[EVENT] FEIERABEND SINGEN; [TIME] 17.00 UHR,0.0,0.0,1.0,0.0,1.0
0006.jpg,1,1,1,1,1,0,1,0,0,0,[EVENT] DEMO; [TOPIC] GEGEN GENTRIFIZIERUNG,[DATE] 09. JULI 2022; [TIME] 15:00 UHR,1.0,1.0,0.0,0.0,0.0
0007.jpg,1,1,1,0,1,1,1,1,2,1,[DATE] 9. Mai 2024; [EVENT] Demo; [TIME] 13h; [LOC] Ostkreuz,[TOPIC] Tag der Befreiung!; [LOC] Sonntagstraße,1.0,0.0,1.0,1.0,0.5
0009.jpg,1,0,1,0,1,1,1,0,3,2,[DATE] 10. Mai 2022; [LOC] Burggasse 71; [LOC] 1070 Wien,[TOPIC] OMAS GEGEN RECHTS; [EVENT] Benefizabend; [TIME] 19:30 Uhr; [LOC] Ateliertheater,0.0,0.0,1.0,0.0,0.6666666666666666
0010.jpg,1,1,1,0,1,1,1,0,2,2,[EVENT] MEDITATION; [DATE] 02.05.2020; [LOC] REWE; [LOC] BLIESKASTEL,[TOPIC] GRUNDGESETZ; [TIME] 15:30 UHR,1.0,0.0,1.0,0.0,1.0
0011.jpg,1,1,2,0,1,1,0,0,1,1,[DATE] 11. Januar 2025; [LOC] Riesa; [EVENT] PROTEST,[TOPIC] GEGEN DEN AFD- BUNDESPARTEITAG; [TOPIC] STOPPT DIE AfD,1.0,0.0,1.0,0.0,1.0
0012.jpg,3,2,1,0,3,1,0,0,3,3,[LOC] Berlin; [LOC] Berlin; [EVENT] Parade; [EVENT] Kundgebung; [DATE] 29.8.2020; [LOC] Berlin,[DATE] 29. August; [DATE] 29. August; [EVENT] Großdemo; [TOPIC] für das Grundgesetz und eine Basis-Demokratische Wende,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0
0013.jpg,1,1,3,0,1,0,1,1,2,2,[EVENT] KUNDGEBUNG; [TIME] 14 UHR; [LOC] BERLIN; [LOC] ORANIENPLATZ,[TOPIC] ERINNERN HEISST KÄMPFEN!; [TOPIC] WIR FORDERN EINE LÜCKENLOSE AUFKLÄRUNG UND KONSEQUENZEN!; [TOPIC] RASSISMUS UND FASCHISMUS ENTSCHLOSSEN BEKÄMPFEN!; [DATE] 19. FEB,1.0,0.0,0.0,1.0,1.0
0014.jpg,1,1,1,0,1,0,2,0,0,0,[EVENT] Broschüren-Release,[DATE] 5. Juli 2023; [TIME] 18:30; [TIME] 19 Uhr; [TOPIC] Strategien und Maßnahmen gegen Sexismus und sexualisierte Gewalt auf Festivals & Co,1.0,0.0,0.0,0.0,0.0
0015.jpg,2,0,1,0,2,1,1,0,2,2,[DATE] FR; [LOC] ESSEN; [LOC] HBF,[DATE] 28. JUNI; [EVENT] RAVE; [EVENT] DEMO; [TOPIC] BASS GEGEN HASS; [TIME] 19 UHR,0.0,0.0,0.5,0.0,1.0
0016.jpg,1,0,2,1,2,2,1,1,2,2,[TOPIC] Bau dein eigenen PC und Smartphone; [LOC] Mittelpunktbibliothek; [LOC] Treptow; [DATE] Samstag; [DATE] 16.11.2024; [TIME] 11 bis 13 Uhr,[EVENT] WORKSHOP; [TOPIC] Do it Yourself,0.0,0.5,1.0,1.0,1.0
0017.jpg,2,2,2,0,2,2,3,1,4,3,[DATE] Sa; [DATE] 08.05.2021; [EVENT] Gedenken; [LOC] Sowjetisches Ehrenmahl; [LOC] Buch; [EVENT] Kundgebung; [TIME] 15:00 Uhr; [LOC] Bahnsteig,[TOPIC] 76 Jahre Befreiung vom Faschismus; [TOPIC] Erinnern heißt KÄMPFEN!; [TIME] 10:00–18:00 Uhr; [TIME] 14:30 Uhr; [LOC] S-Pankow,1.0,0.0,1.0,0.3333333333333333,0.75
0018.jpeg,2,2,2,1,1,0,1,0,3,3,[EVENT] KUNDGEBUNG; [EVENT] AUFZUG; [LOC] KASSEL; [TOPIC] Nein zur Impfpflicht!; [LOC] KÖNIGSPLATZ; [LOC] KASSEL,[DATE] 29. JANUAR 2022; [TIME] 14.00 UHR; [TOPIC] FÜR FRIEDEN & FREIHEIT,1.0,0.5,0.0,0.0,1.0
0019.jpg,1,0,0,0,2,0,1,0,1,0,,[EVENT] antifaschistische RALLY; [LOC] BRENNER-BERG; [TIME] 12 UND 16 UHR; [DATE] 15.5.; [DATE] 16.5.,0.0,0.0,0.0,0.0,0.0
0020.jpg,1,1,1,0,2,1,1,1,2,2,[EVENT] DEMONSTRATION; [DATE] SONNTAG; [TIME] 15:30 UHR; [LOC] MEISTERSINGERHALLE; [LOC] NÜRNBERG,[DATE] 06.09.2020; [TOPIC] SCHÜLER/-INNEN GEGEN DIE MASKENPFLICHT!,1.0,0.0,0.5,1.0,1.0
0022.jpg,4,4,1,0,3,2,1,1,2,2,[EVENT] DEMO; [EVENT] PROTEST CAMP; [EVENT] WORKSHOPS; [EVENT] PERFORMANCES; [DATE] SAMSTAG; [DATE] 13.08.2022; [TIME] 14.00 UHR; [LOC] AUSWÄRTIGES AMT; [LOC] BERLIN,[TOPIC] 1 JAHR TALIBAN REGIME; [DATE] 13.08.2022 — 15.08.2022,1.0,0.0,0.6666666666666666,1.0,1.0
0023.jpg,1,1,1,0,1,0,1,1,1,1,[TIME] 15.30 Uhr; [LOC] Biberach Gigelberg; [EVENT] DEMO,[DATE] 09. Mai; [TOPIC] Wahrung der Grundrechte freie Impfentscheidung,1.0,0.0,0.0,1.0,1.0
0024.jpg,1,1,3,1,2,1,1,1,2,2,[EVENT] ONE BILLION RISING; [LOC] HANAU; [TOPIC] gegen Gewalt an Frauen; [DATE] 14. Februar; [TIME] 16 Uhr; [LOC] Marktplatz,[TOPIC] Tanzt mit!; [DATE] 2017; [TOPIC] Eine weltweite Aktion gegen Gewalt an Frauen,1.0,0.3333333333333333,0.5,1.0,1.0
0025.jpg,0,0,3,0,2,1,1,0,1,1,[DATE] SA; [LOC] Hauptbahnhof,[TOPIC] IN ZWICKAU SIND WIR STARK GEGEN RECHTEN QUARK!; [DATE] 17.08.; [TIME] 13:30 Uhr; [TOPIC] SACHSEN UNTERSTÜTZEN; [TOPIC] STOPPT DIE AfD,0.0,0.0,0.5,0.0,1.0
0026.jpg,1,0,1,0,1,0,1,0,1,1,[LOC] Berlin,[TOPIC] Kultur & Strasse; [EVENT] FESTIVAL; [DATE] 21. Juli 2024; [TIME] 13:00 – 22:00 Uhr,0.0,0.0,0.0,0.0,1.0
0027.jpg,1,1,2,0,1,1,1,0,2,2,[EVENT] FAHRRADDEMO; [LOC] Ostkreuz; [DATE] 2.9.; [LOC] Invalidenpark,[TOPIC] A100 WEGBASSEN!; [TOPIC] gegen die A100 vom Verkehrsministerium; [TIME] 14 Uhr,1.0,0.0,1.0,0.0,1.0
0028.jpg,1,1,2,1,1,1,1,1,2,2,[EVENT] KUNDGEBUNG; [TOPIC] EINE WIRTSCHAFTSKRISE?; [LOC] Dresden; [LOC] Neumarkt; [DATE] 20.6.; [TIME] 16.30 Uhr,[TOPIC] CORONA IST NICHT DAS PROBLEM,1.0,0.5,1.0,1.0,1.0
