file_name,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,mean_char_acc,mean_word_acc
0001.jpg,6,6,4,0.0,0.0,1.0,1.0
0002.jpg,7,2,2,0.0,0.0,1.0,1.0
0003.jpg,11,10,6,0.16526344026344028,0.5092592592592592,0.855027674152098,0.3333333333333333
0004.jpg,11,14,8,0.0,0.0,1.0,1.0
0006.jpg,8,4,3,0.06060606060606061,0.3333333333333333,0.9666666666666667,0.6666666666666666
0007.jpg,6,5,3,0.11363636363636365,0.27777777777777773,0.872053872053872,0.7222222222222222
0009.jpg,15,11,4,0.08823529411764706,0.375,0.9090909090909091,0.75
0010.jpg,4,9,3,0.030303030303030304,0.3333333333333333,0.9696969696969697,0.6666666666666666
0011.jpg,7,7,1,0.0,0.0,1.0,1.0
0012.jpg,10,2,1,0.0,0.0,1.0,1.0
0013.jpg,9,6,4,0.08854166666666666,0.23333333333333334,0.9541666666666666,0.5
0014.jpg,8,9,3,0.3181818181818182,0.4166666666666667,0.7333333333333334,0.3333333333333333
0015.jpg,5,3,0,,,,
0016.jpg,10,8,4,0.0,0.0,1.0,1.0
0017.jpg,10,6,5,0.014814814814814814,0.13333333333333333,0.984,0.8666666666666668
0018.jpeg,8,12,6,0.11881091617933721,0.19444444444444442,0.8793363499245853,0.8055555555555555
0019.jpg,8,17,2,0.0,0.0,1.0,1.0
0020.jpg,12,9,4,0.078125,0.08333333333333333,0.925,0.9166666666666666
0022.jpg,13,13,11,0.048235716852317645,0.19696969696969696,0.9695840391492566,0.696969696969697
0023.jpg,11,11,8,0.018617021276595744,0.020833333333333332,0.9821428571428572,0.9791666666666666
0024.jpg,11,14,2,0.16666666666666666,0.375,0.8055555555555556,0.5
0025.jpg,9,15,3,0.18376068376068377,0.5833333333333334,0.8285024154589372,0.3333333333333333
0026.jpg,6,6,0,,,,
0027.jpg,5,12,1,0.0,0.0,1.0,1.0
0028.jpg,6,8,2,0.0,0.0,1.0,1.0
0029.jpg,8,24,3,0.07222222222222223,0.3055555555555555,0.935465768799102,0.5833333333333334
0030.jpg,6,9,3,0.016666666666666666,0.6666666666666666,0.9833333333333334,0.6666666666666666
0031.jpg,6,2,1,0.0,0.0,1.0,1.0
0032.jpg,8,8,4,0.13392857142857142,0.3333333333333333,0.90625,0.6666666666666666
0035.jpg,8,11,6,0.15231259968102073,0.20833333333333334,0.8690058479532164,0.7083333333333334
0036.jpg,11,11,3,0.25146198830409355,0.5,0.7592592592592592,0.5
0037.jpeg,8,0,0,,,,
0039.jpeg,10,4,3,0.06060606060606061,0.3333333333333333,0.9393939393939394,0.6666666666666666
0040.jpeg,9,11,4,0.0,0.0,1.0,1.0
0041.jpg,12,10,6,0.013888888888888888,0.08333333333333333,0.9848484848484849,0.9166666666666666
0043.jpg,8,8,5,0.20002997650056473,0.29999999999999993,0.8353103448275864,0.2
0044.jpg,6,2,1,0.06818181818181818,0.3333333333333333,0.9487179487179487,0.5
0045.jpeg,15,18,8,0.14429189892835537,0.2625,0.8879750457875458,0.5
0046.jpeg,15,5,1,0.14893617021276595,0.4,0.8604651162790697,0.6
0047.jpg,9,4,3,0.0,0.0,1.0,1.0
0049.jpg,12,6,2,0.17857142857142858,0.25,0.8461538461538461,0.5
0050.jpg,7,8,3,0.055088702147525676,0.19444444444444442,0.9501980758347482,0.6388888888888888
0051.jpg,6,5,3,0.06666666666666667,0.16666666666666666,0.9473684210526315,0.6666666666666666
0052.jpeg,11,13,6,0.1698671497584541,0.4305555555555555,0.8632478632478633,0.36111111111111116
0054.jpg,8,11,5,0.02490842490842491,0.25,0.9735042735042736,0.75
0055.jpg,20,12,12,0.09155945419103313,0.29166666666666663,0.9200207800511508,0.6388888888888888
0057.jpg,14,16,8,0.04642857142857143,0.07291666666666666,0.9626068376068376,0.7916666666666666
0059.jpg,7,3,0,,,,
0060.jpg,7,4,1,0.25,0.3333333333333333,0.7777777777777778,0.0
0061.jpg,6,2,0,,,,
0062.jpg,13,6,3,0.20817369093231164,1.0555555555555556,0.875,0.5
0063.jpg,12,9,6,0.0,0.0,1.0,1.0
0064.jpg,29,20,13,0.07553319729323073,0.13333333333333333,0.9300114190802449,0.8333333333333334
0066.jpg,6,7,6,0.06481481481481481,0.13333333333333333,0.9523809523809524,0.8333333333333334
0067.jpeg,9,11,7,0.0698083888862372,0.1357142857142857,0.941127475401669,0.7119047619047619
0071.jpg,7,2,0,,,,
0072.jpg,27,11,7,0.04884004884004884,0.2857142857142857,0.9558823529411765,0.7857142857142857
0073.jpeg,10,8,6,0.020833333333333332,0.16666666666666666,0.9791666666666666,0.8333333333333334
0074.jpg,10,8,6,0.027083333333333334,0.25,0.9888888888888889,0.75
0075.jpg,6,4,0,,,,
0078.png,21,8,4,0.14583333333333331,0.375,0.8693181818181819,0.75
0080.jpg,23,31,1,0.37142857142857144,0.3333333333333333,0.6363636363636364,0.0
0081.jpg,18,10,4,0.06823671497584541,0.16666666666666666,0.9450280112044818,0.5833333333333333
0082.jpg,9,2,1,0.0,0.0,1.0,1.0
0086.jpg,6,4,2,0.0,0.0,1.0,1.0
0089.jpeg,11,15,4,0.07142857142857142,0.125,0.9423076923076923,1.0
0090.jpeg,14,22,9,0.12003767837101169,0.2037037037037037,0.8983848510164302,0.7037037037037037
0091.jpg,15,8,2,0.16666666666666666,0.5,0.8333333333333334,0.5
0093.jpg,17,2,1,0.0,0.0,1.0,1.0
0094.jpg,15,5,3,0.07936507936507936,0.4444444444444444,0.9428571428571427,0.4444444444444444
0095.jpg,18,14,3,0.14336917562724014,0.3055555555555555,0.8520114942528735,0.6944444444444443
0096.jpg,6,5,1,0.3333333333333333,0.4,0.7,0.0
0097.jpg,12,16,7,0.009523809523809523,0.14285714285714285,0.9904761904761905,0.8571428571428571
0098.jpg,11,7,5,0.02222222222222222,0.2,0.9777777777777779,0.8
0099.jpg,10,11,5,0.22363636363636363,0.5,0.8,0.4
0100.jpg,5,5,4,0.0889423076923077,0.5,0.9206730769230769,0.75
0101.jpg,13,28,4,0.0,0.0,1.0,1.0
0103.jpg,12,15,7,0.15400206866372276,0.5238095238095238,0.8678599644986199,0.5119047619047619
0104.jpg,12,12,7,0.05357142857142857,0.14285714285714285,0.9464285714285714,0.8571428571428571
0106.jpg,12,9,4,0.0,0.0,1.0,1.0
0108.jpg,9,12,7,0.07142857142857142,0.14285714285714285,0.9428571428571428,1.0
0110.jpg,5,4,3,0.1717171717171717,1.0,0.8282828282828283,0.0
0111.jpg,13,11,8,0.04076688815060908,0.06666666666666667,0.9605263157894737,0.9333333333333333
0112.jpg,8,10,3,0.12121212121212122,0.08333333333333333,0.8771929824561404,0.9166666666666666
0113.jpg,8,15,2,0.3649732620320856,0.3333333333333333,0.6499999999999999,0.3333333333333333
0114.jpg,8,9,0,,,,
0115.jpg,5,2,2,0.2,0.16666666666666666,0.8,1.0
0116.jpg,15,20,7,0.09903748733535968,0.11904761904761904,0.906684412895593,0.8809523809523808
0117.jpg,6,6,3,0.014492753623188406,0.3333333333333333,0.9855072463768115,0.6666666666666666
0118.jpeg,6,9,3,0.17037037037037037,0.6666666666666666,0.8527777777777779,0.3333333333333333
0119.jpeg,5,11,4,0.0872093023255814,0.08333333333333333,0.9144736842105263,0.9166666666666666
0120.jpg,13,10,3,0.07246376811594203,0.3333333333333333,0.9420289855072465,1.0
0121.jpg,5,5,5,0.08372093023255814,0.12,0.9297297297297298,0.8800000000000001
0122.jpg,26,15,9,0.13532608695652174,0.2382716049382716,0.886050061050061,0.7555555555555555
0123.jpg,5,5,4,0.0,0.0,1.0,1.0
0124.jpg,8,6,6,0.0,0.0,1.0,1.0
0127.jpeg,8,8,8,0.026515151515151516,0.07857142857142857,0.9728607918263091,0.8678571428571429
0128.jpg,15,15,13,0.05547337278106509,0.11538461538461539,0.9512661251791688,0.8846153846153846
0129.jpg,10,2,1,0.125,1.0,0.875,0.0
0130.jpg,10,10,5,0.137037037037037,0.4,0.9192307692307693,0.8
0131.jpeg,12,13,8,0.08432539682539683,0.10416666666666666,0.9146634615384616,0.8958333333333334
0132.jpg,6,4,4,0.06923076923076923,0.5166666666666666,0.9495192307692308,0.3833333333333333
0133.jpg,5,2,0,,,,
0134.jpg,8,8,7,0.0047619047619047615,0.047619047619047616,0.9948979591836735,0.9523809523809523
0135.jpg,9,6,5,0.0205,0.3,1.0,0.65
0136.jpg,8,8,7,0.026785714285714284,0.2285714285714286,0.9846938775510204,0.8714285714285713
0137.jpg,8,4,4,0.0,0.0,1.0,1.0
0139.jpg,8,5,4,0.012195121951219513,0.05,0.9932432432432432,1.0
0140.jpg,12,9,9,0.05859846545715005,0.09272486772486772,0.9510807630372847,0.5555555555555556
0142.jpeg,12,13,9,0.06253006253006253,0.2037037037037037,0.9586820586820587,0.8888888888888888
0143.jpg,5,8,4,0.1,0.125,0.9166666666666667,0.75
0145.jpg,9,11,5,0.1,0.2,0.9199999999999999,0.8
0146.jpg,12,7,5,0.07919373646510078,0.29999999999999993,0.9284391534391535,0.8333333333333333
0147.jpeg,8,6,6,0.09629629629629628,0.375,0.9180555555555555,0.5833333333333334
0148.jpg,12,9,8,0.0078125,0.025,0.9955357142857143,0.95
0149.jpg,18,18,8,0.03292624521072797,0.17083333333333334,0.9746527777777778,0.7375
0151.jpg,6,1,0,,,,
0152.jpg,5,6,1,0.0,0.0,1.0,1.0
0153.jpg,21,18,7,0.1199053534457261,0.27210884353741494,0.9089481946624804,0.5374149659863945
0154.jpeg,7,7,5,0.08282517482517483,0.5,0.9201581027667984,0.7
0155.jpg,5,7,4,0.06818181818181818,0.1875,0.9416666666666667,0.8125
0156.jpeg,10,2,0,,,,
0157.jpg,10,11,9,0.02749719416386083,0.1111111111111111,0.9756335282651073,0.8888888888888888
0158.jpg,5,4,4,0.0234375,0.14583333333333331,0.9735221674876848,0.8541666666666666
0160.jpg,6,4,4,0.1384895523265642,0.625,0.9096642468239564,0.3125
0161.jpg,16,10,4,0.0,0.0,1.0,1.0
0162.jpeg,17,16,11,0.06864801864801864,0.11363636363636363,0.9427875593883499,0.8863636363636364
0163.jpg,8,10,7,0.03809523809523809,0.21904761904761902,0.9723214285714287,0.6761904761904762
0164.jpg,11,11,8,0.04420306770051015,0.22916666666666663,0.9604017857142857,0.7291666666666666
0165.jpg,13,14,10,0.0668560606060606,0.1,0.9392063492063493,0.8666666666666668
0166.jpg,8,4,4,0.0,0.0,1.0,1.0
0167.jpg,11,11,8,0.08437928323327304,0.33749999999999997,0.9489372895622895,0.5708333333333333
0169.jpeg,11,10,6,0.027777777777777776,0.16666666666666666,0.9722222222222222,0.8333333333333334
0170.jpeg,9,7,7,0.05841503267973856,0.2261904761904762,0.9445665445665445,0.7738095238095237
0171.jpg,16,20,11,0.07447732473476182,0.30757575757575756,0.963560146749802,0.6151515151515151
0172.jpg,13,15,7,0.10442546583850931,0.3333333333333333,0.9274622892635315,0.6666666666666666
0173.jpg,10,11,10,0.022619047619047615,0.15,0.9766233766233767,0.85
0176.jpg,13,8,7,0.08460884353741495,0.15476190476190474,0.914936914936915,0.7619047619047619
0177.jpg,15,11,6,0.0,0.0,1.0,1.0
0178.jpg,14,8,5,0.14779661016949153,0.3090909090909091,0.8587755102040816,0.6181818181818182
0179.jpg,13,13,12,0.005208333333333333,0.027777777777777776,0.9940476190476191,0.9722222222222222
0180.jpg,12,10,7,0.028571428571428574,0.07142857142857142,0.9841269841269842,0.8571428571428571
0181.jpg,11,6,6,0.02873563218390805,0.1388888888888889,0.9861111111111112,0.8333333333333334
0182.jpg,9,7,3,0.038461538461538464,0.06666666666666667,0.9696969696969697,0.6666666666666666
0183.jpg,8,4,2,0.0,0.0,1.0,1.0
0185.jpg,11,6,6,0.15404965404965407,0.3333333333333333,0.8509615384615384,0.6666666666666666
0186.jpg,17,13,12,0.041561447811447806,0.19444444444444445,0.9645833333333332,0.75
0187.jpg,5,20,2,0.05,0.125,0.9705882352941176,0.5
0190.jpg,7,3,2,0.05555555555555555,0.25,0.9375,0.75
0191.jpg,8,9,3,0.21666666666666667,0.5555555555555555,0.8037037037037038,0.3333333333333333
0193.jpg,8,7,6,0.0,0.0,1.0,1.0
0194.jpg,8,11,5,0.06474603174603175,0.3833333333333333,0.9438748386116809,0.4833333333333333
0195.jpg,12,7,6,0.11666666666666665,0.25,0.9,0.6666666666666666
0196.jpg,11,6,5,0.047196608373078965,0.24,0.9676397606188878,0.4
0197.jpg,11,10,8,0.12291666666666667,0.3333333333333333,0.8941176470588236,0.625
0198.jpg,9,8,6,0.021164021164021163,0.13888888888888887,0.9822775263951735,0.8055555555555555
0199.jpg,8,6,5,0.0,0.0,1.0,1.0
0200.jpg,9,6,3,0.12121212121212122,0.3333333333333333,0.9166666666666666,0.6666666666666666
0201.jpg,10,17,5,0.1201814058956916,0.26666666666666666,0.8946998123827392,0.711111111111111
0202.jpg,19,27,8,0.1134672619047619,0.3194444444444445,0.9092261904761905,0.6805555555555555
0203.jpg,10,1,1,0.0,0.0,1.0,1.0
0204.jpg,26,22,12,0.11792929292929294,0.2777777777777778,0.9064814814814816,0.7777777777777778
0205.jpg,10,13,4,0.025,0.08333333333333333,0.9861111111111112,0.8333333333333334
0206.jpg,10,16,7,0.07787114845938374,0.2857142857142857,0.9427020808323329,0.6071428571428571
0207.jpg,5,5,1,0.44,0.5,0.6,0.3333333333333333
0208.jpg,12,13,8,0.06435185185185185,0.08482142857142858,0.9388786764705882,0.8125
0209.jpg,9,16,2,0.28717948717948716,0.75,0.7416666666666667,0.0
0210.jpg,8,1,1,0.16666666666666666,0.5,0.9090909090909091,0.0
0211.jpg,6,11,5,0.11432748538011697,0.5333333333333334,0.9192513368983957,0.4666666666666666
0212.jpg,9,6,2,0.1891891891891892,0.2857142857142857,0.8387096774193549,0.5
0213.jpg,11,11,8,0.03288690476190476,0.4375,0.9754464285714286,0.6875
0214.jpg,11,8,0,,,,
0215.jpg,13,13,10,0.0,0.0,1.0,1.0
0216.jpg,12,9,6,0.05342242298764038,0.20833333333333334,0.9416666666666668,0.7916666666666666
0217.jpg,10,7,4,0.0,0.0,1.0,1.0
0218.jpg,5,5,3,0.0,0.0,1.0,1.0
0219.jpg,10,5,3,0.0,0.0,1.0,1.0
0220.jpg,10,13,10,0.0047619047619047615,0.05,0.9949999999999999,0.95
0221.jpg,9,4,2,0.1303030303030303,0.625,0.8678451178451179,0.375
0222.jpg,16,6,4,0.20192307692307693,0.375,0.823076923076923,0.5
0223.jpg,11,4,2,0.029411764705882353,0.25,0.96875,0.75
