gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,file_name,ocr_easyocr_clahe
7,16,3,0.6606516290726817,0.8571428571428571,0071.jpg,"['Freedom Porade |?11', '0', 'Brandeaburger Tor', 'Grafir:', 'Siogessävle', '2020', '29.Augusl', 'A1 : 00', '2;el;', 'Stare:', '29.Augusl 2020', 'Laserlurchde', '00', 'Augus€ 2020', 'AA', '29']"
7,13,2,0.7639751552795031,0.75,0059.jpg,"['8.', '19 UHR, KUFA MOABIT_', 'Gcfordert durch', 'K', 'comedy', 'MÄRZ,', 'FLINTA', 'STAND UP COMEDY', 'Sozfalraunorienteste', 'BERLIN', 'Sozalral', 'conea', 'G']"
13,35,11,0.24140810170221935,0.29743589743589743,0111.jpg,"['50 JAHRE', 'RI', 'RUMBLE IN THE JUNGLE', 'Podium:', 'Martin Krauß', '(Sportjournalist taz)', 'Michela Wrong', '(britische Journalistin)', 'Fabian Kunow', '(Moderation)', 'und anschl.', 'Kinodokumentation When we were Kings (1997)', 'Nov .', 'Il:about blank, Markgrafendamm 24c, 10245 Berlin', 'Helle Panke', 'Rosa', 'www.helle-panke.de', 'WWW', 'helle-panke de', 'L', '1', 'Nov 19 ', '7', 'Il:about blank,', 'Markgrafendamm 24c, 10245 Berlin', 'Dr.', 'Kinodokumentation When we were', 'Mo', '25', 'Il:about blank, Markgrafendamm 24c, 10245', '25. Nov , 19 Uhr', 'Kinodokumentation When we were Kings', '43', 'Helle', 'Markgrafendamm 24c, 10246']"
8,13,6,0.25219298245614036,0.265625,0139.jpg,"['MEHR POLIZEI?', 'NICHTS ZU FEIERN', 'WIR BLEIBEN DABEI: SOZIALE LÖSUNGEN FÜR SOZIALE PROBLEME:', 'KUNDGEBUNG', '15.02. AB 9:00 KOTTBUSSER TOR', 'WACHE AM KOTTI? NOT WELCOME', 'ZE', 'WIR', 'Z', 'sche Post', '15.02', 'AB 9:00 KOTTBUSSER TOR', 'Or']"
5,8,4,0.3296969696969697,0.9,0110.jpg,"['CLUBS', 'STADT', 'KLIMAKRISE', 'MARKGRAFENDAMM', 'YRL', 'A1gg WEGBASSEN!', '29.14*22', 'R']"
12,21,11,0.11319444444444444,0.3333333333333333,0104.jpg,"['Kiezklub Rathaus Johannisthal Sterndamm 102', 'WEIHNACHTSBAZaR', 'Draußen;', 'Glühwein und Gegrilltes', 'Feuertonne und Stockbrot', 'weihnachtliche Livemusik', 'Stände mit interessanten Dingen', 'Drinnen:', 'Bastelstraße', 'Kindertheater aus dem Koffer', 'Pilzen', 'Kiezklub', 'Rathaus Johannlsthal', 'Stände mit interessanten', 'EPACE', 'Dingen', 'G', '3Dez', '14-19 Ubr', ':! ;', '82']"
10,11,3,0.7315151515151516,0.9,0039.jpeg,"['POLiTiSCHEN', 'U-BHF TURMSTR', 'DEMO 180325/19', 'FD', 'GEFANGENEN', '1|', 'EERUN', '4', 'M', 'o', '#E']"
29,42,29,0.023401155277273673,0.06709085933223866,0064.jpg,"['KIEZFEST', 'KIEZKLUB Treptow-Kolleg', 'Samstag, 1.Juli 2023', 'von 14 - 18 Uhr', 'Eröffnung durch Frau Weingart', 'Dirk Jüttner', 'Stellvertretende Bezirksbürgermeisterin', 'erfreut uns als Elvis', 'Presley', 'und Leiterin der Abteilung Soziales, Arbeit', 'und Teilhabe', 'Kinder- und Erwachsenen-Tanzteam', 'des PSV Olympia Berlin', 'Es spielt die Combo des', 'Landespolizeiorchesters', 'Belly Dance mit ,SOURAIA HAGIR""', 'Brandenburg', 'Eine kostenlose Fahrradkennzeichnung durch den', 'Die fröhlichen Herbstlerchen', 'Polzeiabschnitt 65, außerdem gibt es noch Mit-', 'erfreuen uns mit ihrem Vortrag', 'mach-Aktionen für Kinder, Seifenblasen mit Ciello;', 'Holzarbeiten, Schwerter basteln mit Marlies; das', 'Kreistanzgruppe unter Leitung von', 'Kinderschminken mit Farina und Jessica, Malen', 'Monika Kemmnitz', 'und Basteln mit Michaela und vieles mehr', 'Unsere Ehrenamtlichen des KIEZKLUBs und das', 'Seniorenpflegeheim DOMIZIL verwöhnen sie mit', 'selbstgebackenem Kuchen. Für Ihr leibliches Wohl', 'ist gesorgt.', 'K / E Z K L U B', 'Samstag, 1', '0', 'Juli 2023', 'erfreut uns als Elvis Presley', 'von 14-', '18 Uhr', 'Tdedtoi', 'Eine kostenlose', 'Fahrradkennzeichnung durch den', 'Vo']"
6,8,6,0.03367003367003367,0.26666666666666666,0066.jpg,"['HocusPocus', 'Furstenfeld', 'Festival der Zauberkunst', 'Veranstaltungsforum', 'Fürstenfeld', '11.', '15.Mai 2022', '11. - 15.Mai 2022']"
27,43,19,0.35591995453106556,0.6185185185185186,0072.jpg,"['MI 44.2.2024', '(Bahnhofstraße 69)', 'ab 17:00 Kundgebung, Markplatz Ried', 'ab 16.00', 'Hans-', 'Kulturpolitischer', 'Icegen', 'und Susanne Scholl', 'RECHTS', 'in der Giesserei', 'omasgegenrechs.at', 'OMAS', 'ZuM', 'GEGEN', 'RECHTS', 'Unserer', 'DEMOKPATIE', 'ONas', 'DeMo', 'Und Lichtermeer', 'ZSAMMENHALTEN', 'GEGEN RECHTs""', 'RIED IM INNkREIS', 'DMAs', 'GEGEN', 'Rechts ""', 'MI', '44.2.2024', 'RIED IM', 'INNKREIS', 'Henning Scharsach', 'Ried', 'JEr', 'Ts', 'SChuTz', 'UNd', 'En', 'LICHTERMEEr', 'hons', 'Bittc Kerze niinehmen!', '88', '08', '43']"
