image,text,confidence,bbox_tl,bbox_tr,bbox_br,bbox_bl
0071.jpg,Crafik:,0.419,"[32, 987]","[159, 987]","[159, 1041]","[32, 1041]"
0071.jpg,Siogessävle,0.8962,"[653, 908]","[997, 908]","[997, 1036]","[653, 1036]"
0071.jpg,S6c:,0.4158,"[511.14703578155166, 891.2175502825171]","[664.0503201829345, 879.2193935250931]","[664.8529642184483, 948.7824497174829]","[511.9496798170656, 960.7806064749069]"
0071.jpg,2020,0.9924,"[841, 634]","[1032, 634]","[1032, 721]","[841, 721]"
0071.jpg,29.Augusl~,0.4654,"[501, 646]","[857, 646]","[857, 782]","[501, 782]"
0071.jpg,A1 : 00,0.4598,"[519, 766]","[720, 766]","[720, 835]","[519, 835]"
0071.jpg,Brandeaburger Tor,0.4617,"[648, 837]","[1075, 837]","[1075, 949]","[648, 949]"
0071.jpg,2;el;,0.7243,"[514, 949]","[660, 949]","[660, 1018]","[514, 1018]"
0071.jpg,Freedom Porade M?11,0.4637,"[159, 12]","[1070, 12]","[1070, 156]","[159, 156]"
0071.jpg,29.Augusl 2020,0.5192,"[500, 629]","[1039, 629]","[1039, 782]","[500, 782]"
0071.jpg,Uhf,0.4237,"[717.3786563088577, 760.1903564972024]","[819.6529013722093, 751.8714765259145]","[821.6213436911423, 815.8096435027976]","[719.3470986277907, 825.1285234740855]"
0071.jpg,A1 :0 uh,0.4163,"[516, 758]","[822, 758]","[822, 836]","[516, 836]"
0071.jpg,Laserlurchde,0.7982,"[37, 1025]","[288, 1025]","[288, 1078]","[37, 1078]"
0071.jpg,Parad,0.9669,"[624, 517]","[863, 517]","[863, 617]","[624, 617]"
0071.jpg,AA,0.5254,"[523, 773]","[617, 773]","[617, 833]","[523, 833]"
0071.jpg,#Freedom Porade M?11,0.6119,"[22, 10]","[1070, 10]","[1070, 184]","[22, 184]"
0071.jpg,Frrovom Parad,0.4023,"[406, 517]","[856, 517]","[856, 631]","[406, 631]"
