image,gt_line,ocr_line,CER,WER
0001.jpg,SPRACHCAFE,SPRACHCAFE,0.0,0.0
0001.jpg,WEIHNACHTSFEIER,WEIHNACHTSFEIER,0.0,0.0
0001.jpg,DIENSTAG 21.12.,DIENSTAG 21.12,0.0667,0.5
0001.jpg,OLOF-PALME ZENTRUM,OLOF-PALME ZENTRUM,0.0,0.0
0001.jpg,19 UHR,19 UHR,0.0,0.0
0001.jpg,WIR FREUEN UNS AUF EUCH!,WIR FREUEN UNS AUF EUCH!,0.0,0.0
0002.jpg,SCHLIESST EUCH AN!,SCHLIESST EUCH AN},0.0556,0.3333
0002.jpg,ET Video & Content,ET Video & Content,0.0,0.0
0002.jpg,nichtohneuns_Dresden,nichtohneuns_Dresden,0.0,0.0
0002.jpg,KUNDGEBUNG,KUNDGEBUNG,0.0,0.0
0002.jpg,#SOLIDARITÄT MIT ALLEN!,#SOLIDARITÄT MIT ALLENI,0.0435,0.3333
0002.jpg,BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH?,berICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH?,0.0698,0.1667
0002.jpg,"Dresden, Großer Garten, 8.8. um 16 Uhr","Dresden; Großer Garten; 8.8. ""m 16 Uhr",0.0789,0.4286
0003.jpg,»ES IST GESCHEHEN,,1.0,1.0
0003.jpg,UND FOLGLICH,,1.0,1.0
0003.jpg,KANN ES WIEDER GESCHEHEN.« Primo Levi,,1.0,1.0
0003.jpg,Gedenkkundgebung und antifaschistische Demonstration,antifaschistische Demonstration,0.4038,0.5
0003.jpg,"Mahnmal Levetzowstraße, Berlin-Moabit","Mahnmal Levetzowstraße, Berlin-Moabit",0.0,0.0
0003.jpg,9. November,9.November,0.0909,1.0
0003.jpg,1938–2023,1938}-2023,0.2222,1.0
0003.jpg,18:00 Uhr,18:00 Uhr,0.0,0.0
0003.jpg,85 Jahre nach den Novemberpogromen;,85 Jahre nach den Novemberpogromen;,0.0,0.0
0003.jpg,Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus!,,1.0,1.0
0003.jpg,9november.blackblogs.org,Onovember blackblogs org,0.125,3.0
0004.jpg,FEIERABEND,FEIERABEND,0.0,0.0
0004.jpg,SINGEN,SINGEN,0.0,0.0
0004.jpg,KULTUR,KULTUR,0.0,0.0
0004.jpg,NETZ,NETZ,0.0,0.0
0004.jpg,Meiendorf,Meiendorf,0.0,0.0
0004.jpg,IMMER UM,IMMER UM,0.0,0.0
0004.jpg,17.00 UHR,17.00 UHR,0.0,0.0
0004.jpg,JEDE*R IST ♥-LICH WILLKOMMEN!,JEDE*R IST *-LICH WILLKOMMEN!,0.0345,0.25
0004.jpg,"MITTWOCH, 21. JUNI 2023","MITTWOCH, 21. JUNI 2023",0.0,0.0
0004.jpg,"Wo: Grundschule Islandstraße,","Wo: Grundschule Islandstraße,",0.0,0.0
0004.jpg,Islandstraße 25,Islandstraße 25,0.0,0.0
0006.jpg,IHR HABT UNS,,1.0,1.0
0006.jpg,DIE STADT,DIESTADIT,0.2222,1.0
0006.jpg,GESTOHLEN,GESTOHLEN,0.0,0.0
0006.jpg,GEBT SIE,GEBT_SIE,0.125,1.0
0006.jpg,WIEDER HER!,WIEDER HERI,0.0909,0.5
0006.jpg,ZUKUNFT STATT OSTKREUZ CAMPUS,,1.0,1.0
0006.jpg,DEMO GEGEN GENTRIFIZIERUNG,DEMO GEGEN GENTRIFIZIERUNG,0.0,0.0
0006.jpg,09. JULI 2022 / 15:00 UHR,,1.0,1.0
0007.jpg,9. Mai 2024,9. Mai 2024,0.0,0.0
0007.jpg,Demo,Demo,0.0,0.0
0007.jpg,Herrentag,Hmentag,0.3333,1.0
0007.jpg,Tag der Befreiung!,,1.0,1.0
0007.jpg,13h Ostkreuz,13h Ostkreuz,0.0,0.0
0007.jpg,(Seite Sonntagstraße),(Seite sonntagstraße,0.0952,0.5
0009.jpg,OMAS GEGEN RECHTS,)MAS GEGEN RECHTS,0.0588,0.3333
0009.jpg,"Benefizabend am 10. Mai 2022, 19:30 Uhr","enefizabend am 70. Mai 2022, 19.30 Uhr",0.0769,0.4286
0009.jpg,"Ateliertheater, Burggasse 71, 1070 Wien",,1.0,1.0
0009.jpg,Anmeldung: www.ateliertheater.wien,Inmeldung: www ateliertheater wien,0.0882,2.0
0009.jpg,Harri Stojka,Harri Stojka,0.0,0.0
0009.jpg,Shlomit Butbul,Shlomit Butbul,0.0,0.0
0009.jpg,Klezmer Reloaded,Klezmer Reloaded,0.0,0.0
0009.jpg,The English Lovers,The English Lovers,0.0,0.0
0009.jpg,Aret Aleksanyan · Muamer Budimlic · Margaret Carter,,1.0,1.0
0009.jpg,Caroline Koczan · Ingrid Porzner · Monika Salzer · Susanne Scholl,,1.0,1.0
0009.jpg,Jenny Simanowitz · Kathy Tanner · Vira Zhuk,Jenny Slmanowltz . Kathy Tanner . Vlra Zhuk,0.1163,0.5
0009.jpg,und,,1.0,1.0
0009.jpg,OMAS-ON-STAGE,OMAS-ON-STAGE,0.0,0.0
0009.jpg,ATELIERTHEATER,teLIERTHEATER,0.2143,1.0
0009.jpg,Eintritt frei,Eintritt,0.3846,0.5
0010.jpg,GRUNDGESETZ,GRUNDQESETZ,0.0909,1.0
0010.jpg,MEDITATION,MEDITATION,0.0,0.0
0010.jpg,02.05.2020 15:30 UHR,02.05 2020 15630 UHR,0.1,1.0
0010.jpg,REWE BLIESKASTEL,REWE BLIESKASTEL,0.0,0.0
0011.jpg,SAVE THE DATE,SAVE THE DATE,0.0,0.0
0011.jpg,Am 11. Januar 2025,Am 11. Januar 2025,0.0,0.0
0011.jpg,nach Riesa,nach Riesa,0.0,0.0
0011.jpg,PROTEST GEGEN DEN AFD-,PROTEST GEGEN DEN AFD,0.0455,0.25
0011.jpg,BUNDESPARTEITAG,BUNDESPARTEITAG,0.0,0.0
0011.jpg,STOPPT DIE AfD,,1.0,1.0
0011.jpg,Aufstehen-gegen-Rassismus.de,Aufstehen-gegen-Rassismus .de,0.0357,2.0
0012.jpg,DEMOKRATISCHER Sommer,DESOKRATISCHER,0.381,1.0
0012.jpg,www.nichtohneuns.de,,1.0,1.0
0012.jpg,NICHT OHNE UNS! in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern.,in Berlin 29. August 20202 GroBdemo mit bis zu 5.000.0OO Teilnehmern,0.2353,0.4286
0012.jpg,NICHT OHNE UNS! Europe,NICHT OHNE UNS!  Europe,0.0455,0.0
0012.jpg,in Berlin 29. August,in Berlin 29. August,0.0,0.0
0012.jpg,Parade und Kundgebung für das Grundgesetz,Parade und Kundgebung fur das Grundgesetz,0.0244,0.1667
0012.jpg,und eine Basis-Demokratische Wende,und eine Basis-Demokratische Wende,0.0,0.0
0012.jpg,"Saturday, the 29.8.2020",Saturday; the 29.8.2020,0.0435,0.3333
0012.jpg,Berlin invites Europe,Berlin invites Europe,0.0,0.0
0012.jpg,Nicht Ohne Uns!,Nicht Ohne Uns!,0.0,0.0
0013.jpg,BERLIN ORT: ORANIENPLATZ,BERLIN ORT: ORANIENPLATZ,0.0,0.0
0013.jpg,KUNDGEBUNG,KUNDGEBUNG,0.0,0.0
0013.jpg,19. FEB – 14 UHR,,1.0,1.0
0013.jpg,ERINNERN HEISST KÄMPFEN!,ERINNERI HEISST KIMPFENI,0.125,0.6667
0013.jpg,3 JAHRE NACH,3 JAHRE NACH,0.0,0.0
0013.jpg,HANAU,HANAU,0.0,0.0
