gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer,file_name,ocr_easyocr_clahe
7,17,4,0.24866486068111457,0.6666666666666666,0071.jpg,"['Grafir:', 'Siegessävle', 'Stare:', '2020', '29.Augusl~', 'A1 : 00', 'Brandenburger Tor', '2;el;', 'Freedom Porade |?11', '29.Augusl 2020', 'Uhf', '00', 'Laserlurchde', 'Parad', 'AA', '#Freedom Porade M?11', 'Frrovom Parad']"
7,19,2,0.17391304347826086,0.125,0059.jpg,"['n', '8.', 'Sozialraunorientierte', 'HEDY', 'come', 'MÄRZ,', '19 UHR, KUFA MOABIT_', 'FLINTA', 'STAND UP COMEDY', 'Gafordert durch', 'K', 'comedy', 'BERLIN', 'CYEDY', 'comea', 's', '7', 'Hotet', 'C']"
13,33,11,0.09049528902470078,0.15151515151515152,0111.jpg,"['50 JAHRE', 'RUMBLE IN THE JUNGLE', 'Podium:', 'Martin Krauß', '(Sportjournalist taz)', 'Dr. Michela Wrong', '(britische Journalistin)', '(Moderation)', 'und anschl.', 'Kinodokumentation When we were Kings (1997)', 'Helle', 'Papke', 'www.helle-panke.de', 'RI', 'Fabian Kunow', 'Mo. 25. Nov  19 Uhr', 'Il:about blank, Markgrafendamm 24c, 10245 Berlin', 'Helle Panke', '7', 'WWW', 'helle-panke de', 'L', 'RI   RUMBLE IN THE JUNGLE', 'Ros', 'Fabian Kunow on', 'Il:about blank,', 'Markgrafendamm 24c, 10245 Berlin', 'Dr ', 'Kinodokumentation When we were Kings', 'Mo.', '25', 'Il:about blank, Markgrafendamm 24c, 10246', '1']"
8,14,6,0.0029239766081871343,0.020833333333333332,0139.jpg,"['MEHR POLIZEI?', 'NICHTS ZU FEIERN', 'KUNDGEBUNG', '15.02. AB 9:00 KOTTBUSSER TOR', 'WIR BLEIBEN DABEI: SOZIALE LÖSUNGEN FÜR SOZIALE PROBLEME:', 'ZE', 'WACHE AM KOTTI? NOT WELCOME', 'BERE', 'POl', '""OLIZE', 'sche Post', '2', '15.02', 'AB 9:00 KOTTBUSSER TOR']"
5,9,4,0.1621212121212121,0.875,0110.jpg,"['CLUBS', 'STADT', 'KLIMAKRISE', 'A1gg WEGBASSEN!', '29.1f922', 'MARKGRAFENDAMM', 'YRL', 'R', '4']"
12,22,11,0.03787878787878787,0.2727272727272727,0104.jpg,"['Kiezklub Rathaus Johannisthal Sterndamm 102', 'WEIHNACHTSBAZAR', 'Draußen;', 'Glühwein und Gegrilltes', 'Feuertonne und Stockbrot', 'weihnachtliche Livemusik', 'Stände mit interessanten', 'Drinnen;', 'Bastelstraße', 'Kindertheater aus dem Koffer', 'Pilzen', 'Kiezklub', 'Rathaus Johannlsthal', 'Dingen', 'EPACE', 'G', '3.Dez', '14-19 Ubr', 'Stände mit interessanten Dingen', 'Marktschwarmer', 'berli', '22,14-19Uhr']"
10,8,3,0.06666666666666667,0.3333333333333333,0039.jpeg,"['GEFANGENEN', 'DEMO18032519', '00', 'UBHF TURMSTR', '7|', 'TAG DER', 'EERLN', '4']"
29,43,29,0.02271150010485988,0.06134373289545704,0064.jpg,"['Samstag, 1.Juli 2023', 'von 14 - 18 Uhr', 'Eröffnung durch Frau Weingart', 'Dirk Jüttner', 'Stellvertretende Bezirksbürgermeisterin', 'erfreut uns als Elvis Presley', 'und Leiterin der Abteilung Soziales, Arbeit', 'und Teilhabe', 'Kinder- und Erwachsenen-Tanzteam', 'des PSV Olympia Berlin', 'Es spielt die Combo des', 'Landespolizeiorchesters', 'Belly Dance mit ,SOURAIA HAGIR""', 'Brandenburg', 'Eine kostenlose Fahrradkennzeichnung durch den', 'Die fröhlichen Herbstlerchen', 'Polzeiabschnitt 65, außerdem gibt es noch Mit-', 'erfreuen uns mit ihrem Vortrag', 'mach-Aktionen für Kinder, Seifenblasen mit Ciello,', 'Holzarbeiten, Schwerter basteln mit Marlies; das', 'Kreistanzgruppe unter', 'von', 'Kinderschminken mit Farina und Jessica, Malen', 'Monika Kemmnitz', 'und Basteln mit Michaela und vieles mehr', 'Unsere Ehrenamtlichen des KIEZKLUBs und das', 'Seniorenpflegeheim DOMIZIL verwöhnen sie mit', 'ist gesorgt.', 'Leitung', 'KIEZFEST', 'KIEZKLUB Treptow-Kolleg', 'Samstag, 1', '0', 'Juli 2023', 'Kreistanzgruppe unter Leitung von', 'selbstgebackenem Kuchen. Für Ihr leibliches Wohl', 'K/ E Z K L U B', 'von 14 -', '18 Uhr', 'Tdedtoin', 'vQi', 'erfreut uns als Elvis', 'Presley']"
6,8,6,0.03367003367003367,0.26666666666666666,0066.jpg,"['HocusPocus', 'Furstenfeld', 'Festival der Zauberkunst', 'Veranstaltungsforum', 'Fürstenfeld', '11.', '15.Mai 2022', '11. - 15.Mai 2022']"
27,44,18,0.08375906500906502,0.4462962962962963,0072.jpg,"['DP', 'MI 44.2.2024', 'RIED IM INNkREIS', '(Bahnhofstraße 69)', 'ab 17:00 Kundgebung, Markplatz Ried', 'ab 16.00', 'Hans-', 'Kulturpolitischer', 'Icegen', 'und Susanne Scholl', 'omasgegenrechts.at', 'OMAS', 'ZuM', 'SChuTz', 'GEGEN', 'RECHTS', 'Unserer', 'DEMOKPATIE', 'AS', 'DeMo', 'Und Lichtermeer', 'ZSAMMENHALTEN', 'GEGEN RECHTS""', 'DMAs', '[RECHTS', 'in der Giesserei', 'Demo UNd Lichtermeer', '7i', 'Ts', 'GEGEN', 'Rechts ""', 'MI', '44.2.2024', 'RIED IM', 'INNKREIS', 'Henning Scharsach', 'Ried', 'En', 'UNd', 'LICHTERMEEr', 'hons', 'ab 17:00 Kundgebung', 'Markplatz Ried', '24,']"
10,25,7,0.08051948051948052,0.42857142857142855,0099.jpg,"['Hergessene', 'Arbeitskämpfe', 'Roter Salon', '8€', 'der', 'VOLKSBUHNE', '29', '04', '24', 'Ux', 'arbeitskaempfe@', 'PUNX', 'Abend', 'Fintritt:', 'volksbuehne-berlinde', 'Wann:', 'EAT', 'Lipsrick +', 'Wer:', 'arbeitskaempfe@volksbuehne-berlin.de', 'TorevWals', 'in der', '29. 04.', 'de', ""'berli""]"
8,18,6,0.1314655172413793,0.3333333333333333,0112.jpg,"['ua', 'HAUPTSACHE', 'ES KNALLT?', '6H', 'the un', 'NOFUTURE_NO DANCEFLOOR;', 'FREITAG, 20.09.19', 'UHR', 'BERLIN MITTE & ÜBERALL', '15.00', 'ICKERN|', 'GEN', 'SISMUS', 'ISMus', 'wakinglife', 'BERLIN MITTE &', ' UHR FRIDAYS FoR FUTURE', '12.00']"
