image,groundtruth_text,ocr_text,CER,WER
0001.jpg,SPRACHCAFE WEIHNACHTSFEIER DIENSTAG 21.12. OLOF-PALME ZENTRUM 19 UHR WIR FREUEN UNS AUF EUCH!,SPRACHCAFE WEIHNACHTSFEIER DIENSTAG 21.12 OLOF-PALME ZENTRUM 19 UHR WIR FREUEN UNS AUF EUCH! SP CHCAFE WEIF GHTSFEIER CHCA HTSFFFR,0.4194,0.5385
0002.jpg,"SCHLIESST EUCH AN! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG #SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? Dresden, Großer Garten, 8.8. um 16 Uhr","SCHLIESST EUCH AN} ET Video & Content nichtohneuns_Dresden KUNDGEBUNG #SOLIDARITÄT MIT ALLENI Dresden; Großer Garten; 8.8. ""m 16 Uhr berICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH?",0.4545,0.6
0003.jpg,"»ES IST GESCHEHEN UND FOLGLICH KANN ES WIEDER GESCHEHEN.« Primo Levi Gedenkkundgebung und antifaschistische Demonstration Mahnmal Levetzowstraße, Berlin-Moabit 9. November 1938–2023 18:00 Uhr 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus! 9november.blackblogs.org","Gedenkkundgebung und antifaschistische Demonstration ES IST Mahnmal Levetzowstraße, Berlin-Moabit 9.November 1938}-2023 18:00 Uhr UD KHES Primo Levi 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des Onovember blackblogs org deutschen Antisemitismus und Rassismus! org 1938 18:",0.4489,0.6842
0004.jpg,"FEIERABEND SINGEN KULTUR NETZ Meiendorf IMMER UM 17.00 UHR JEDE*R IST ♥-LICH WILLKOMMEN! MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25","FEIERABEND KULTUR NETZ SINGEN 8 82 4 IMMER UM 17.00 UHR JEDE*R [ST MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25 cent he An JEDE*R IST *-LICH WILLKOMMEN! a Meiendorf JEDE*R IST v-LICH WILLKOMMEN! 8 ""-LICH WILLKOMMEN! Jur 9 ""-LICH JEDE 1~ 21 JUNI 2022",1.1266,1.4545
0006.jpg,IHR HABT UNS DIE STADT GESTOHLEN GEBT SIE WIEDER HER! ZUKUNFT STATT OSTKREUZ CAMPUS DEMO GEGEN GENTRIFIZIERUNG 09. JULI 2022 / 15:00 UHR,DIESTADIT GESTOHLEN GEBT_SIE WIEDER HERI 2022/1500 UGR DEMO GEGEN GENTRIFIZIERUNG LL,0.5,0.7826
0007.jpg,9. Mai 2024 Demo Herrentag Tag der Befreiung! 13h Ostkreuz (Seite Sonntagstraße),9. Mai 2024 Demo 13h Ostkreuz (Seite sonntagstraße 9 Mai 2024 0 H (Seite Hmentag Befrdiung! iung!,0.775,1.0
0009.jpg,"OMAS GEGEN RECHTS Benefizabend am 10. Mai 2022, 19:30 Uhr Ateliertheater, Burggasse 71, 1070 Wien Anmeldung: www.ateliertheater.wien Harri Stojka Shlomit Butbul Klezmer Reloaded The English Lovers Aret Aleksanyan · Muamer Budimlic · Margaret Carter Caroline Koczan · Ingrid Porzner · Monika Salzer · Susanne Scholl Jenny Simanowitz · Kathy Tanner · Vira Zhuk und OMAS-ON-STAGE ATELIERTHEATER Eintritt frei",")MAS GEGEN RECHTS enefizabend am 70. Mai 2022, 19.30 Uhr Inmeldung: www ateliertheater wien Harri Stojka Shlomit Butbul Klezmer Reloaded The English Lovers teLIERTHEATER Aret Aleksanyan - Muamer Budlmllc Margaret Carter Caroline Koczan . Ingrid Porzner Monlka Salzer susanne Scholl Jenny Slmanowltz . Kathy Tanner . Vlra Zhuk OMAS-ON-STAGE Eintritt Muamer Budimllc Jenny Slmanowltz < Kathy Tanner Vlra Zhuk r Reloaded Kathy Tanner Ki F Jam 10 Ja Ji22; shk Carolinc Koczan",0.5037,0.8276
0010.jpg,GRUNDGESETZ MEDITATION 02.05.2020 15:30 UHR REWE BLIESKASTEL,GRUNDQESETZ MEDITATION 02.05 2020 15630 UHR REWE BLIESKASTEL @Ronnvskochshow Berlin 02.05 2020 15830 UHR 02.05.2020 15830 UHR,1.1333,1.8571
0011.jpg,SAVE THE DATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD- BUNDESPARTEITAG STOPPT DIE AfD Aufstehen-gegen-Rassismus.de,SAVE THE DATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD BUNDESPARTEITAG STOPPT DIE AfD Aufstehen-gegen-Rassismus .de SAV DAL NFAS SA 1s stchen gegen 4,0.2857,0.6111
0012.jpg,"DEMOKRATISCHER Sommer www.nichtohneuns.de NICHT OHNE UNS! in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern. NICHT OHNE UNS! Europe in Berlin 29. August Parade und Kundgebung für das Grundgesetz und eine Basis-Demokratische Wende Saturday, the 29.8.2020 Berlin invites Europe Nicht Ohne Uns!",caro in Berlin 29 August Parade und Kundgebung fur das Grundgesetz und eine Basis-Demokratische Wende Saturday; the 29.8.2020 Berlin invites Europe Nicht Ohne Uns! 9 9 NICHT OHNE UNS Lin Berlin 29.August 20202 Bdemo mitbis zu 5.000.000 Teilnehmern NICHT OHNE UNS!  Europe in Berlin 29. August Grof DESOKRATISCHER NICHT OHNF UNS MNSERE in Berlin 29. August 20202 GroBdemo mit bis zu 5.000.0OO Teilnehmern 51 A,0.8871,1.2045
0013.jpg,BERLIN ORT: ORANIENPLATZ KUNDGEBUNG 19. FEB – 14 UHR ERINNERN HEISST KÄMPFEN! 3 JAHRE NACH HANAU Ferhat Unvar · Gökhan Gültekin · Vili-Viorel Păun · Sedat Gürbüz · Mercedes Kierpacz · Kaloyan Velkov · Said Nesar Hashemi · Fatih Saraçoğlu · Hamza Kenan Kurtović WIR FORDERN EINE LÜCKENLOSE AUFKLÄRUNG UND KONSEQUENZEN! RASSISMUS UND FASCHISMUS ENTSCHLOSSEN BEKÄMPFEN!,BERLIN ORT: ORANIENPLATZ KUNDGEBUNG 19.FEB 14 UHR ERINNERI HEISST KIMPFENI 3 JAHRE NACH HANAU RASSISMUS UND FASCHISMUS ENTSCHLOSSEN BEKAMPFENI ISKS ekmall BERLIN ORT: ORANIENPLATZ Komant JAHRE NACH P= 7 0,0.6503,0.8036
0014.jpg,HACK SEXISM Broschüren-Release 5. Juli 2023 ://about blank 18:30 Einlass // 19 Uhr Start Strategien und Maßnahmen gegen Sexismus und sexualisierte Gewalt auf Festivals & Co MBI NYP,HACK SEXISM Broschüren-Release 5.Juli 2023:llabout blank 18.30 Einlass /l 19Uhr Start Strategien und Moßnahmen gegen Sexismus und sexualisierte Gewalt auf Festivals & Co 18.30 Einlass 19 Uhr Start quf Festivals Bros Strategien und M 5 Juli2 8 89 egienund M Sexismus und se 188OEi,0.6389,1.0714
0015.jpg,"FR., 28. JUNI RAVE DEMO BASS GEGEN HASS 19 UHR, ESSEN HBF",28 0 BASS GEGEN Hass ESSEN HBF UUNI 19 UHR FROq ( En FRE; 28. 2 BASS HHASS,1.0175,1.4167
0016.jpg,WORKSHOP Do it Yourself Bau dein eigenen PC und Smartphone Wo? Mittelpunktbibliothek Treptow Wann? Samstag 16.11.2024 *11 bis 13 Uhr Jetzt Anmelden! PS: Alte/eigene Geräte können zum erforschen mitgebracht werden!,Bau dein eigenen PC und Smartphone Wo? Mittelpunktbibliothek Treptow Wann? zum eiforschen mitgelorocht 'Samstag 16.11.2024 #I1 bis 13 Uhr Jetzt Anmelden! PS: Alteleigene Geräte können werden! zum erforschen mitgebracht,0.338,0.4
0017.jpg,"76 Jahre Befreiung vom Faschismus Erinnern heißt KÄMPFEN! Sa, 08.05.2021 Gedenken 10:00–18:00 Uhr Sowjetisches Ehrenmahl Buch Kundgebung 15:00 Uhr Vortreffungspunkt 14:30 Uhr Bahnsteig S-Pankow","76 Jahre XÄMPFEN' Befreiung vom Faschismus Sa, 08.05.2021 Gedenken 10.00-18.00 Uhr Sowjetisches Ehrenmahl Buch Kundgebung 15.00 Uhr Vortreffungpunkt 14,30 Uhr Bahnsteig S-Pankow Erinnlern heißt Ed heißt vom Faschismus",0.4093,0.5833
0018.jpeg,KUNDGEBUNG & AUFZUG DURCH KASSEL Nein zur Impfpflicht! Ärzte sprechen Klartext! 29. JANUAR 2022 14.00 UHR KÖNIGSPLATZ KASSEL FREIE BÜRGER KASSEL FÜR FRIEDEN & FREIHEIT,KUNDGEBUNG & AUFZUG DURCH KASSEL Nein zur Impfpflicht! Arzte sprechen Klartext! 29 JANUAR 2022 14.00 UHR KÖNIGSPLATZ KASSEC FREIE BÜRGER KASSEL AUFZUG DURCH heatcr Nein zur Impfpflicht! JANUAR 2022 KÖNIGSPLATZ KASSEL & KA UAR YA cher K Ö,0.515,0.76
0019.jpg,antifaschistische RALLY START BRENNER-BERG ZWISCHEN 12 UND 16 UHR 15.5. 16.5.,ang und amer aggres Ikczer Ina. NAT gen; den und und peitet an der eigener Ind gehen passenhaft Arbe de ger START ZwIscHE] RALLY ERENNER-BenG anc Ikapit  sein tal Mimonen SC chu cheihrer   Zukun a n t i f a s ew Thiebung Und die C Zu VP Zukun rsone 82 c h i s t i s c h e na can pheihrer U und atbeitet an der eigener O Es werde ollen Ua a n t i f a s c h i s t i;s c h e a '2 cigene,4.4416,8.4545
0020.jpg,DEMONSTRATION SONNTAG 06.09.2020 SCHÜLER/-INNEN GEGEN DIE MASKENPFLICHT! WANN: 15:30 UHR WO: MEISTERSINGERHALLE NÜRNBERG. TOLLE REDNER MODERATOR (NANA LIFESTYLER) GUNNAR KAISER U.V.M. IMPRESSUM: SCHÜLER/-INNEN GEGEN DIE MASKENPFLICHT (DEUTSCHLAND) ADRIANBOOKING2019@GMAIL.COM,DEMONSTRATION 19.2020 SCHÜLERI-INNEN GEGen DIE MASKENPFLICHT! WO: MEISTERSINGERHALLE NüRNBERG TOLLE REDNER MODERATOR (MANA LIFESTYLER) KAISER GUNNAR E UVM SONNTAG 06 WANN: 15-30 UHR SONNTAG 06F79.2020 SONNTAG,0.44,0.7143
0022.jpg,"AKTION RESISTENZ FRUSTRATION GEMEINSAMKEIT WIDERSTAND HOFFNUNG AUFSCHREI BESTÄRKUNG NETZWERK ISOLATION RESILIENZ SOLIDARITÄT TRAUER FLUCHT AUSBEUTUNG NEUANFANG 1 JAHR TALIBAN REGIME DEMO: SAMSTAG, 13.08.2022 14.00 UHR, AUSWÄRTIGES AMT PROTEST CAMP BERLIN 13.08.2022 — 15.08.2022 WORKSHOPS PERFORMANCES REDEBEITRÄGE #DONTFORGETAFGHANISTAN","'TAWBAN REGIME DEMO; SAMSTAG 13008,2022 4.0 PROTEST CAMP BERLIN 73,08.2022 15.08,2022 'DONTFORCETAFGHANISTAN AKTION RESISTENZ FRUSTRATION GEMEINSAMKEITWIDERSTAND HOFFNUNG AUFSCHREI BESTÄRKUNG NETZWERK ISOLATION RESILIENZ SOLIDARITÄT TRAUER FLUCHT AUSBEUTUNG NEUANFANG JAHR DEMO: SAMSTAG, 13.08.2022 14.00 UHR, AUSWÄRTIGES AMT WORKSHOPS PERFORMANCES REDEBEITRÄGE",0.5757,0.6486
0023.jpg,09. Mai 15.30 Uhr Biberach Gigelberg angemeldete DEMO Wahrung der Grundrechte freie Impfentscheidung Art.1: Die Würde des Menschen ist unantastbar.... Art.2: Die Freiheit der Person ist unverletzlich... Art.5: Eine Zensur findet nicht statt... WICHTIG bitte Mindestabstand einhalten sonst könnte die Veranstaltung aufgelöst werden,09 Mai 1530 Uhr Biberach Cigelberg angemeldete DEMO Wahrung der Grundrechte freie Impfentscheidung WICkTIG bitte Mindestabstand einhalten werden PIC-COLLAGE 00 Art.1: Die Würde des Menschen ist unantastbar._ Art.2: Die Freiheit der Person ist unverletzlich  Art.5: Eine Zensur findet nicht statt.- sonst könnte die Veranstaltung aufgelöst 2 09 Mai Art.1: Die Würde des Menschen ist unantas Art. 2: Die Freiheit der Person ist unverlet: ~,0.5424,0.8372
0024.jpg,"ONE BILLION RISING HANAU Weltweit tanzen an diesem Tag Menschen gegen Gewalt an Frauen 14. Februar, 16 Uhr Marktplatz Macht mit! Tanzt mit! 2017 ONE BILLION RISING HANAU onebillionrising.org onebillionrising.de Schirmherr: Claus Kaminsky Oberbürgermeister Eine weltweite Aktion gegen Gewalt an Frauen",UNE HANAU Weltweit tanzen an diesem Tag Menschen gegen Gewalt an Frauen 14.Februar; 16Uhr Macht mit ! Marktplatz' Tanzt mit ! 2017] Eine weltweite Aktion OME BILUON RISING gegen Gewalt Schirmhcrr: Caus Kaminsly an Frauen Weltweit tanzen an diesem Menschen Tag 7 DILLIUI 2,0.49,0.8293
0025.jpg,Noch drei Wochen bis zu den Landtagswahlen. IN ZWICKAU SIND WIR STARK GEGEN RECHTEN QUARK! +++ SA 17.08. 13:30 Uhr Hauptbahnhof +++ SACHSEN UNTERSTÜTZEN. STOPPT DIE AfD,"bis 2u den N 7S IN ZWICKAU SIND WIR STARK GEGEN RECHTEN QUARK! AfD SACHSEN UNTERSTUTZEN. Wochen dnei Noch iloe Wa 444 13,30 STOPPT 4494 bis ZU Uhi SA Landtagswahlen. den HÖCKE ALer Hauptbahnhof 17.08. (U BJunk Stoppe Stoppenl TEF SA 17_ 460  ta M bis 3 HSEN HSEN W' Afo ,E",1.2024,1.5926
0026.jpg,Kultur & Strasse FESTIVAL About Blank Berlin 21. Juli 2024 13:00 – 22:00 Uhr EINTRITT FREI!,About 18-00 Blank Berlin KRel Kutuestasse 22O0c Uhr 2024 FESIVAL FES 24) 21Juli,0.8022,0.875
0027.jpg,"A100 WEGBASSEN! FAHRRADDEMO gegen die A100 vom Verkehrsministerium zu ""A100 wegbassen"" am Ostkreuz 2.9. um 14 Uhr Invalidenpark",am Zu die 14 FAHRRADDEMO Ostkreuz wegbassen' Invalidenpark 'A1oo Verkehrsministerium vom Uhr gegen ' um 2.9. A7oo WEGBASSEN! 14 Uhr A1oo 7,0.7244,0.9444
0028.jpg,"CORONA IST NICHT DAS PROBLEM nichtohneuns_Dresden ET Video & Content KUNDGEBUNG EINE WIRTSCHAFTSKRISE? Dresden, Neumarkt, 20.6. um 16.30 Uhr","CORONA NICHT IST DAS PR Scllg: nichtohneuns_Dresden ET Video & Content KUNDGEBUNG Dresden; Neumarkt, 20.6. um 16.30 Uhr EM EINE WIRTSCHAFTSKRISE? ET nichtohneuns Dresden LIS 5 Dresden, Neumarkt, 20.6 um 16.30 Uhr",0.6071,0.8947
