file_name,category,ground_truth,ocr_tesseract,similarity,normalized_ocr_tesseract,similarity02,char_accuracy02,char_accuracy,word_accuracy,word_accuracy02
0001.jpg,noisy,SPRACHCAFE WEIHNACHTSFEIER DIENSTAG 21.12. OLOF-PALME ZENTRUM 19 UHR WIR FREUEN UNS AUF EUCH!,"ÄCHCAFE—&
aHTSFELER

DIENSTAG 21.12.
OLOF-PALME ZENTRUM —
19 UHR

WIR FREUEN UNS AUF EUCH!",0.0,ÄCHCAFE—& aHTSFELER DIENSTAG 21.12. OLOF-PALME ZENTRUM — 19 UHR WIR FREUEN UNS AUF EUCH!,0.0,0.8387096774193549,0.7849462365591398,0.3076923076923077,0.3076923076923077
0002.jpg,noisy,"SCHLIESST EUCH AN! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG #SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? Dresden, Großer Garten, 8.8. um 16 Uhr","#SOLIDARITÄT MIT ALLEN!

BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH?

Dresden, Großer Garten, 8.8. um 16 Uhr

CT",0.0,"#SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? Dresden, Großer Garten, 8.8. um 16 Uhr CT",0.0,0.5852272727272727,0.5568181818181819,0.0,0.0
0003.jpg,noisy,"»ES IST GESCHEHEN UND FOLGLICH KANN ES WIEDER GESCHEHEN.« Primo Levi Gedenkkundgebung und antifaschistische Demonstration Mahnmal Levetzowstraße, Berlin-Moabit 9. November 1938–2023 18:00 Uhr 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus! 9november.blackblogs.org","Gedenkkundgebung und

antifaschistische Demonstration

)) Mahnmal Levetzowstraße, Berlin-Moabit
9. November

18:00 Uhr

& [Sj
WWIEDER GEBGHEHEN.

|

85 Jahre nach den Novemberpogromen;
Solidarität mit den Opfern des
Onovember.blackblogs.org deutschen Antisemitismus und Rassismus!",0.0,"Gedenkkundgebung und antifaschistische Demonstration )) Mahnmal Levetzowstraße, Berlin-Moabit 9. November 18:00 Uhr & [Sj WWIEDER GEBGHEHEN. | 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des Onovember.blackblogs.org deutschen Antisemitismus und Rassismus!",0.0,0.5201238390092879,0.4860681114551083,0.0,0.0
0004.jpg,noisy,"FEIERABEND SINGEN KULTUR NETZ Meiendorf IMMER UM 17.00 UHR JEDE*R IST ♥-LICH WILLKOMMEN! MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25","Ö

A JEDEIR IST o-LS%WILLKQMMENLÄ

S",0.0,Ö A JEDEIR IST o-LS%WILLKQMMENLÄ S,0.0,0.15189873417721522,0.14556962025316456,0.0,0.0
0006.jpg,noisy,IHR HABT UNS DIE STADT GESTOHLEN GEBT SIE WIEDER HER! ZUKUNFT STATT OSTKREUZ CAMPUS DEMO GEGEN GENTRIFIZIERUNG 09. JULI 2022 / 15:00 UHR,"Aul
DEMO GEGEN GENTRIFIZIERUNG
Na 2022 / 15:00 UHR",0.0,Aul DEMO GEGEN GENTRIFIZIERUNG Na 2022 / 15:00 UHR,0.0,0.3382352941176471,0.32352941176470584,0.0,0.0
0007.jpg,noisy,9. Mai 2024 Demo Herrentag Tag der Befreiung! 13h Ostkreuz (Seite Sonntagstraße),,0.0,,0.0,0.0,0.0,0.0,0.0
0009.jpg,noisy,"OMAS GEGEN RECHTS Benefizabend am 10. Mai 2022, 19:30 Uhr Ateliertheater, Burggasse 71, 1070 Wien Anmeldung: www.ateliertheater.wien Harri Stojka Shlomit Butbul Klezmer Reloaded The English Lovers Aret Aleksanyan · Muamer Budimlic · Margaret Carter Caroline Koczan · Ingrid Porzner · Monika Salzer · Susanne Scholl Jenny Simanowitz · Kathy Tanner · Vira Zhuk und OMAS-ON-STAGE ATELIERTHEATER Eintritt frei",>|\g|_ASÜI:'GEI5!REM,0.0,>|\g|_ASÜI:'GEI5!REM,0.0,0.022222222222222254,0.022222222222222254,0.0,0.0
0010.jpg,noisy,GRUNDGESETZ MEDITATION 02.05.2020 15:30 UHR REWE BLIESKASTEL,"GRU#@ESETZ
MEDITARION
02.05/2020 15:30 UHR
REWELBLIESKÄASTEL",0.0,GRU#@ESETZ MEDITARION 02.05/2020 15:30 UHR REWELBLIESKÄASTEL,0.0,0.8833333333333333,0.8333333333333334,0.2857142857142857,0.2857142857142857
0011.jpg,noisy,SAVE THE DATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD- BUNDESPARTEITAG STOPPT DIE AfD Aufstehen-gegen-Rassismus.de,"Z Am II |anuar 2025 al

\A 5E S 5
C „55*_«‚w nach Riesa ; f jg% A

(""‚l ?'?;v„„-",0.0,"Z Am II |anuar 2025 al \A 5E S 5 C „55*_«‚w nach Riesa ; f jg% A (""‚l ?'?;v„„-",0.0,0.23809523809523814,0.23015873015873012,0.0,0.0
0012.jpg,noisy,"DEMOKRATISCHER Sommer www.nichtohneuns.de NICHT OHNE UNS! in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern. NICHT OHNE UNS! Europe in Berlin 29. August Parade und Kundgebung für das Grundgesetz und eine Basis-Demokratische Wende Saturday, the 29.8.2020 Berlin invites Europe Nicht Ohne Uns!","@@äﬁ OKRATISCHER

www.nichtohneuns.de
!_ in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern.

Saturday, the 29.8.2020

Berlin invites Europe .",0.0,"@@äﬁ OKRATISCHER www.nichtohneuns.de !_ in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern. Saturday, the 29.8.2020 Berlin invites Europe .",0.0,0.4741935483870968,0.4580645161290322,0.045454545454545456,0.045454545454545456
