file_name,category,ground_truth,ocr_tesseract,normalized_ocr_tesseract
0001.jpg,noisy,SPRACHCAFE WEIHNACHTSFEIER DIENSTAG 21.12. OLOF-PALME ZENTRUM 19 UHR WIR FREUEN UNS AUF EUCH!,"*SP

CHCAFE&

WEIR

aHTSFELER

\\—h[

\

l

U

ou1r-mgvu ZENTRUM —

WIR FREUEN UNS AUF EUCH!",*SP CHCAFE& WEIR aHTSFELER \\—h[ \ l U ou1r-mgvu ZENTRUM — WIR FREUEN UNS AUF EUCH!
0002.jpg,noisy,"SCHLIESST EUCH AN! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG #SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? Dresden, Großer Garten, 8.8. um 16 Uhr","D D

3

@

STA

N

„

XM

S

3

Z

'}

‘\

A

2a

LLL

n A

Au

‘;n‚n

a

5

\ /

L

E< );«rré‘

‚-

#SOLIDARITÄT MIT ALLEN!

BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH?

D

resden, Grofr Gaen‚ 8.8. u 16 Uhr

\

\

3„«5

A

a

<

e","D D 3 @ STA N „ XM S 3 Z '} ‘\ A 2a LLL n A Au ‘;n‚n a 5 \ / L E< );«rré‘ ‚- #SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? D resden, Grofr Gaen‚ 8.8. u 16 Uhr \ \ 3„«5 A a < e"
0003.jpg,noisy,"»ES IST GESCHEHEN UND FOLGLICH KANN ES WIEDER GESCHEHEN.« Primo Levi Gedenkkundgebung und antifaschistische Demonstration Mahnmal Levetzowstraße, Berlin-Moabit 9. November 1938–2023 18:00 Uhr 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus! 9november.blackblogs.org","Gedenkkundgebung und

antifaschistische Demonstration

Mahnmal Levetzowstraße, Berlin-Moabit

9. November

»E Ial

-2023

18:00 Uhr

GESCH

ND

&

LÜ

U

JO

KANN E

ÖESOHEHE

85 Jahre nach den Novemberpogromen;

WE

Solidarität mit den Opfern des

deutschen Antisemitismus und Rassismus!

9november.blackblogs.org","Gedenkkundgebung und antifaschistische Demonstration Mahnmal Levetzowstraße, Berlin-Moabit 9. November »E Ial -2023 18:00 Uhr GESCH ND & LÜ U JO KANN E ÖESOHEHE 85 Jahre nach den Novemberpogromen; WE Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus! 9november.blackblogs.org"
0004.jpg,noisy,"FEIERABEND SINGEN KULTUR NETZ Meiendorf IMMER UM 17.00 UHR JEDE*R IST ♥-LICH WILLKOMMEN! MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25","FEIERABEND

SINGEN

f

\

X

M JEDESR 1ST >O-\L4IC&WII.L>K;OMMEN!‘Ä

S",FEIERABEND SINGEN f \ X M JEDESR 1ST >O-\L4IC&WII.L>K;OMMEN!‘Ä S
0006.jpg,noisy,IHR HABT UNS DIE STADT GESTOHLEN GEBT SIE WIEDER HER! ZUKUNFT STATT OSTKREUZ CAMPUS DEMO GEGEN GENTRIFIZIERUNG 09. JULI 2022 / 15:00 UHR,"x .I.I.V '( ].E—‘j

aa“

ll

|‘l?-;l

ÜT

T,

9)] u

P

Ba L

H

Z

n

mk

Y

OE UE N

1

DEMO GEGEN GENTRIF

IZIERUNG

Ng

1

00 UHR","x .I.I.V '( ].E—‘j aa“ ll |‘l?-;l ÜT T, 9)] u P Ba L H Z n mk Y OE UE N 1 DEMO GEGEN GENTRIF IZIERUNG Ng 1 00 UHR"
0007.jpg,noisy,9. Mai 2024 Demo Herrentag Tag der Befreiung! 13h Ostkreuz (Seite Sonntagstraße),"Cl

ß

‘{

Z

F

‘Y‘?

[\

- «X

4 on

AL

N

N",Cl ß ‘{ Z F ‘Y‘? [\ - «X 4 on AL N N
0009.jpg,noisy,"OMAS GEGEN RECHTS Benefizabend am 10. Mai 2022, 19:30 Uhr Ateliertheater, Burggasse 71, 1070 Wien Anmeldung: www.ateliertheater.wien Harri Stojka Shlomit Butbul Klezmer Reloaded The English Lovers Aret Aleksanyan · Muamer Budimlic · Margaret Carter Caroline Koczan · Ingrid Porzner · Monika Salzer · Susanne Scholl Jenny Simanowitz · Kathy Tanner · Vira Zhuk und OMAS-ON-STAGE ATELIERTHEATER Eintritt frei",">n£Aé.*üﬁc”?*

NRECHTS

ı 3

am 10. Mai 2022, 1%

eater, Burgg;

er.

liert

vien

Har

Stojk

Shlio

it Bi

bul

4

KiezMer Reicaded

e English Lovers

mit.

le}

yar

Sir

)MAS

El",">n£Aé.*üﬁc”?* NRECHTS ı 3 am 10. Mai 2022, 1% eater, Burgg; er. liert vien Har Stojk Shlio it Bi bul 4 KiezMer Reicaded e English Lovers mit. le} yar Sir )MAS El"
0010.jpg,noisy,GRUNDGESETZ MEDITATION 02.05.2020 15:30 UHR REWE BLIESKASTEL,"GRU

ESETZ

MED

%

02.0522020

THDN

) UHR

REWELBE

M

TEL",GRU ESETZ MED % 02.0522020 THDN ) UHR REWELBE M TEL
0011.jpg,noisy,SAVE THE DATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD- BUNDESPARTEITAG STOPPT DIE AfD Aufstehen-gegen-Rassismus.de,"R

zl

‚A

v

n

TL

H#

— B

]

e @Ä—@£a b

T

D

I

l

3„

Am 11. Janvar 2025

l„‚

}

A

M

B;“”‘

x=‚w nach R|esa in

; 5 A.‚

€‚

‚ 1'?-'v*rv

8

{ 1

4

AL

f

H

la' !

5}

\y 4

RI

BL

ABa

v;

7!

S

W

/

T

A

Al

(

4

‚P

ür

e“’\

F""

'I'“"" ‘Ä

A',

Aufstehen gegen-ﬁä%ßmus d

£„é E","R zl ‚A v n TL H# — B ] e @Ä—@£a b T D I l 3„ Am 11. Janvar 2025 l„‚ } A M B;“”‘ x=‚w nach R|esa in ; 5 A.‚ €‚ ‚ 1'?-'v*rv 8 { 1 4 AL f H la' ! 5} \y 4 RI BL ABa v; 7! S W / T A Al ( 4 ‚P ür e“’\ F"" 'I'“"" ‘Ä A', Aufstehen gegen-ﬁä%ßmus d £„é E"
0012.jpg,noisy,"DEMOKRATISCHER Sommer www.nichtohneuns.de NICHT OHNE UNS! in Berlin 29. August 20202 Großdemo mit bis zu 5.000.000 Teilnehmern. NICHT OHNE UNS! Europe in Berlin 29. August Parade und Kundgebung für das Grundgesetz und eine Basis-Demokratische Wende Saturday, the 29.8.2020 Berlin invites Europe Nicht Ohne Uns!","KRATISCHER

S

oMM e%z

ICHT OHNE UNS !, in Berlin 29. August 20202 Großdemo mit bis zı

C

NICHT OHNE UNS! Eura /ODc

lnlcﬂln29

Parade und Kundgebung

KAnST e

und eine

Saturday, the 29.8.2020

Berlin invites Europe

/

ne U

1","KRATISCHER S oMM e%z ICHT OHNE UNS !, in Berlin 29. August 20202 Großdemo mit bis zı C NICHT OHNE UNS! Eura /ODc lnlcﬂln29 Parade und Kundgebung KAnST e und eine Saturday, the 29.8.2020 Berlin invites Europe / ne U 1"
