image,gt_lines,ocr_lines,matched_lines,mean_cer,mean_wer
0001.jpg,6.0,6.0,5.0,0.011116666666666665,0.08333333333333333
0002.jpg,7.0,7.0,3.0,0.0354,0.18027142857142855
0003.jpg,11.0,7.0,3.0,0.44017272727272727,0.8636363636363636
0004.jpg,11.0,11.0,10.0,0.003136363636363637,0.022727272727272728
0006.jpg,8.0,5.0,2.0,0.4297625,0.6875
0007.jpg,6.0,5.0,3.0,0.2380833333333333,0.4166666666666667
0009.jpg,15.0,11.0,5.0,0.32927333333333325,0.5841266666666667
0010.jpg,4.0,4.0,2.0,0.047725000000000004,0.5
0011.jpg,7.0,6.0,4.0,0.15445714285714288,0.4642857142857143
0012.jpg,10.0,9.0,4.0,0.17297,0.29286
0013.jpg,9.0,6.0,4.0,0.3518555555555556,0.42963333333333337
0014.jpg,8.0,7.0,3.0,0.2174125,0.4020875
0015.jpg,5.0,2.0,0.0,0.72888,0.76666
0016.jpg,10.0,7.0,5.0,0.31985,0.375
0017.jpg,10.0,9.0,4.0,0.15705000000000002,0.38333
0018.jpeg,8.0,6.0,2.0,0.34155,0.4374875
0019.jpg,8.0,4.0,2.0,0.6489,2.625
0020.jpg,12.0,7.0,3.0,0.46242500000000003,0.55555
0022.jpg,13.0,11.0,8.0,0.1888076923076923,0.32051538461538465
0023.jpg,11.0,11.0,4.0,0.061463636363636366,0.23810909090909094
0024.jpg,11.0,6.0,1.0,0.5501454545454546,0.8242454545454546
0025.jpg,9.0,6.0,4.0,0.38563333333333333,0.4722222222222222
0026.jpg,6.0,2.0,0.0,0.7604166666666666,1.0
0027.jpg,5.0,2.0,2.0,0.6,0.6
0028.jpg,6.0,5.0,4.0,0.17116666666666666,0.19445
0029.jpg,8.0,3.0,1.0,0.63855,0.6979124999999999
0030.jpg,6.0,5.0,4.0,0.18333333333333335,0.25
0031.jpg,6.0,4.0,1.0,0.38270000000000004,0.8333333333333334
0032.jpg,8.0,7.0,4.0,0.2112125,0.4947875
0035.jpg,8.0,6.0,4.0,0.34628749999999997,0.375
0036.jpg,11.0,5.0,2.0,0.6342363636363636,0.7727272727272727
0037.jpeg,8.0,3.0,1.0,0.6875,0.8125
0039.jpeg,10.0,3.0,1.0,0.78286,0.9
0040.jpeg,9.0,9.0,5.0,0.17707777777777778,0.30423333333333336
0041.jpg,12.0,8.0,2.0,0.42544166666666666,0.6541666666666667
0043.jpg,8.0,5.0,4.0,0.4318125,0.4375
0044.jpg,6.0,1.0,0.0,0.8666666666666667,1.0
0045.jpeg,15.0,9.0,4.0,0.44702000000000003,0.5188866666666667
0046.jpeg,15.0,2.0,0.0,0.9042733333333334,0.9555533333333333
0047.jpg,9.0,6.0,3.0,0.4027777777777778,0.6111111111111112
0049.jpg,12.0,7.0,0.0,0.4796916666666666,0.6932499999999999
0050.jpg,7.0,4.0,2.0,0.44518571428571424,0.48571428571428577
0051.jpg,6.0,6.0,1.0,0.2076,0.7222166666666666
0052.jpeg,11.0,7.0,3.0,0.47954545454545455,0.8181818181818182
0054.jpg,8.0,7.0,3.0,0.2435125,0.40625
0055.jpg,20.0,13.0,8.0,0.37767,0.48958499999999994
0057.jpg,14.0,9.0,6.0,0.3964142857142857,0.5162357142857142
0059.jpg,7.0,2.0,0.0,0.7939999999999999,0.9285714285714286
0060.jpg,7.0,1.0,1.0,0.8571428571428571,0.8571428571428571
0061.jpg,6.0,4.0,0.0,0.4617333333333334,0.71945
0062.jpg,13.0,7.0,3.0,0.48560000000000003,0.6474384615384616
0063.jpg,12.0,11.0,7.0,0.14519166666666666,0.5416666666666666
0064.jpg,29.0,28.0,20.0,0.05062758620689655,0.1256551724137931
0066.jpg,6.0,6.0,4.0,0.024416666666666666,0.19999999999999998
0067.jpeg,9.0,6.0,5.0,0.33986666666666665,0.37777777777777777
0071.jpg,7.0,3.0,0.0,0.6606428571428571,0.8571571428571428
0072.jpg,27.0,19.0,6.0,0.36345925925925926,0.6518518518518519
0073.jpeg,10.0,9.0,6.0,0.14436,0.4
0074.jpg,10.0,10.0,5.0,0.08208,0.4
0075.jpg,6.0,4.0,0.0,0.5347333333333334,0.9722166666666666
0078.png,21.0,16.0,9.0,0.31339047619047616,0.4642857142857143
0080.jpg,23.0,3.0,0.0,0.9159434782608694,1.0072478260869564
0081.jpg,18.0,12.0,3.0,0.4472666666666667,0.6759277777777778
0082.jpg,9.0,5.0,2.0,0.5039333333333333,0.7777777777777778
0086.jpg,6.0,4.0,2.0,0.3918333333333333,0.5833333333333334
0089.jpeg,11.0,8.0,2.0,0.4076272727272727,0.5909090909090909
0090.jpeg,14.0,9.0,4.0,0.43220714285714285,0.5178571428571429
0091.jpg,15.0,6.0,1.0,0.6798333333333333,0.8666666666666667
0093.jpg,17.0,11.0,8.0,0.36041764705882356,0.49149999999999994
0094.jpg,15.0,9.0,0.0,0.5164133333333333,0.8841333333333333
0095.jpg,18.0,10.0,2.0,0.5177111111111111,0.6574055555555556
0096.jpg,6.0,3.0,1.0,0.51675,0.7333333333333334
0097.jpg,12.0,9.0,2.0,0.3418333333333334,0.9166666666666666
0098.jpg,11.0,8.0,4.0,0.33995454545454545,0.5530272727272727
0099.jpg,10.0,7.0,3.0,0.36265000000000003,0.7
0100.jpg,5.0,5.0,4.0,0.025,0.2
0101.jpg,13.0,7.0,1.0,0.5329230769230769,0.6874000000000001
0103.jpg,12.0,10.0,2.0,0.2667833333333334,0.47024166666666667
0104.jpg,12.0,11.0,8.0,0.11805833333333333,0.3333333333333333
0106.jpg,12.0,7.0,3.0,0.4581,0.5583333333333333
