filename,ground_truth,ocr_text,avg_confidence,similarity
0001.jpg,SPRACHCAFE WEIHNACHTSFEIER DIENSTAG 21.12. OLOF-PALME ZENTRUM 19 UHR WIR FREUEN UNS AUF EUCH!,SPRACHCAFE WEIFNACHTSFEIER DIENSTAG 21.12_ OLOF-PALME ZENTRUM 19 UHR WIR FREUEN UNS AUF EUCH!,0.7882296870308495,0.978494623655914
0002.jpg,"SCHLIESST EUCH AN! ET Video & Content nichtohneuns_Dresden KUNDGEBUNG #SOLIDARITÄT MIT ALLEN! BERICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? Dresden, Großer Garten, 8.8. um 16 Uhr","SchlIEsst Eucx Any EI Videc & Contert nIchtohneuns_Dresce: KUNDGEBUNG #SOLIDARITÄT MIT ALLEN! BerICHTE: WIE WAR DIE BERLIN-DEMO WIRKLICH? Dresden, Großer Garten, 8.8. um 16 Uhr",0.42124717751050955,0.8920454545454546
0003.jpg,"»ES IST GESCHEHEN UND FOLGLICH KANN ES WIEDER GESCHEHEN.« Primo Levi Gedenkkundgebung und antifaschistische Demonstration Mahnmal Levetzowstraße, Berlin-Moabit 9. November 1938–2023 18:00 Uhr 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des deutschen Antisemitismus und Rassismus! 9november.blackblogs.org","Gedenkkundgebung und antifaschistische Demonstration ES IST Mahnmal Levetzowstraße, Berlin-Moabit 9.November 1938 - 2023 18:00 Uhr ASOHEHEH UD FOLALIOH KHES MFERGESCHEHEIIs Primo Levi 85 Jahre nach den Novemberpogromen; Solidarität mit den Opfern des Onovember: blackblogs org deutschen Antisemitismus und Rassismus!",0.7022898705728261,0.7104851330203443
0004.jpg,"FEIERABEND SINGEN KULTUR NETZ Meiendorf IMMER UM 17.00 UHR JEDE*R IST ♥-LICH WILLKOMMEN! MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25","FEIERABEND KULTUR NETZ Meiendorf SINGEN 40 e7 IMMER UM 17.O0 UHR JEDE*R IST v-LICH WILLKOMMEN! MITTWOCH, 21. JUNI 2023 Wo: Grundschule Islandstraße, Islandstraße 25 0ay> oti o1 pla clouds 0 cient he der Ahe An hun ~endy Mnn",0.6199964281685887,0.7086614173228346
0006.jpg,IHR HABT UNS DIE STADT GESTOHLEN GEBT SIE WIEDER HER! ZUKUNFT STATT OSTKREUZ CAMPUS DEMO GEGEN GENTRIFIZIERUNG 09. JULI 2022 / 15:00 UHR,UI:i:n DIESTADTE GESTOHLEN @EBTISIE @iuntmngKU7UMUEE WIEDERHER! DEMO GEGEN GENTRIFIZIERUNG 69u0uin 2022/ 15-00 UHR,0.4453461739517071,0.656
0007.jpg,9. Mai 2024 Demo Herrentag Tag der Befreiung! 13h Ostkreuz (Seite Sonntagstraße),9. Mai 2024 Demo #rnantag qeguon Becdiung! 13h Ostkreuz (Seite sonntagstraße),0.5110349038143528,0.8407643312101911
0008.jpg,24.10.2024 20H–5H ://about blank ECO-RAVEOLUTION dancing4climate Bands 20–22H: IVAN T.X.A.P Leitplanke Line-Up 22–5H: Behind Those Ears flashks b2b futuretrash aqua veen joshi reinard noa boiler,24.10.2024 20H-5H 'Ilabout blank ECO RAVOLUEON dancingbclimate Bands 20-22H: IVAN T.XAP Leitplanke Line-Up 22-5H: Behind Those Ears Ilashks b2b futurretrash aqua veen joshi reinard noa boiler IPU taltrgn der Sulant ule Vor Oiae 8) ori ASH,0.5696770102044957,0.7638888888888888
0009.jpg,"OMAS GEGEN RECHTS Benefizabend am 10. Mai 2022, 19:30 Uhr Ateliertheater, Burggasse 71, 1070 Wien Anmeldung: www.ateliertheater.wien Harri Stojka Shlomit Butbul Klezmer Reloaded The English Lovers Aret Aleksanyan · Muamer Budimlic · Margaret Carter Caroline Koczan · Ingrid Porzner · Monika Salzer · Susanne Scholl Jenny Simanowitz · Kathy Tanner · Vira Zhuk und OMAS-ON-STAGE ATELIERTHEATER Eintritt frei",")MAS GEGEN RECHTS enefizabend am 10. Mai 2022, 19.30 Uhr Iteliertheater, Burggasse 71, 1070 Wien Inmeldung: www ateliertheater wien Harri Stojka Shlomit Butbul Kllezmer Reloaded The English Lovers Aret Aleksanyan Muamer Budimllc Margaret Carter Caroline Koczan . Ingrid Porzner Monlka Salzer Susanne Scholl Jenny Simanowitz Kathy Tanner Vlra Zhuk und OMAS-ON-STAGE ITELIERTHEATER Eintritt",0.8578435485376642,0.905422446406053
0010.jpg,GRUNDGESETZ MEDITATION 02.05.2020 15:30 UHR REWE BLIESKASTEL,GRUNDOESETZ MEDITATION 02.05.2020 15830 UHR REWE BLIESKASTEL @RonnvsKochshow Berlin,0.8302023865383041,0.8111888111888111
0011.jpg,SAVE THE DATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD- BUNDESPARTEITAG STOPPT DIE AfD Aufstehen-gegen-Rassismus.de,SAVETHE DATE Am 11. Januar 2025 nach Riesa PROTEST GEGEN DEN AFD BUNDESPARTEITAG STOPPT DIE Aufstehen-gegen-Rassismus .de Saas AfD,0.7256196224815195,0.9375
